total_layer,train_layer,patience,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc
33,0,5,0.4577,0.9918,0.9642,0.7533,0.5706,0.9295,0.0058,0.153,0.5926
33,1,5,0.5263,0.9901,0.966,0.7432,0.6088,0.9177,0.0056,0.169,0.6395
36,0,5,0.5199,0.9904,0.966,0.7477,0.607,0.9352,0.001,0.1791,0.58
36,1,5,0.571,0.9888,0.9672,0.7366,0.632,0.945,0.0542,0.0966,0.6381
33,1,5,0.4609,0.9945,0.9669,0.821,0.6007,0.9199,0.0128,0.1847,0.6199
33,2,5,0.5694,0.9893,0.9675,0.7437,0.6345,0.9402,0.0062,0.1622,0.6426
36,1,5,0.453,0.9936,0.9656,0.7933,0.5841,0.9358,0.0016,0.1823,0.6209
36,2,5,0.5917,0.9889,0.9684,0.745,0.6479,0.9359,0.0023,0.163,0.64
33,1,5,0.4785,0.9946,0.9679,0.8287,0.6155,0.9211,0.0014,0.2052,0.6316
33,2,5,0.4944,0.9938,0.9679,0.8136,0.6197,0.9305,0.0324,0.1247,0.6494
36,1,5,0.4466,0.9948,0.9664,0.8235,0.592,0.9358,0.0089,0.1478,0.6197
36,2,5,0.5391,0.9928,0.9693,0.8029,0.6433,0.9314,0.0033,0.1499,0.6528
33,2,5,0.4912,0.9944,0.9684,0.828,0.6236,0.9226,0.0213,0.1436,0.6444
33,1,5,0.4976,0.9929,0.9672,0.7919,0.6125,0.9308,0.002,0.2079,0.6303
33,3,5,0.5183,0.9933,0.9687,0.8085,0.6328,0.9378,0.0247,0.1375,0.6566
36,2,5,0.5136,0.9937,0.9689,0.8173,0.6335,0.9351,0.0026,0.1739,0.6454
36,1,5,0.5215,0.9933,0.9689,0.8094,0.6352,0.9289,0.002,0.1751,0.6239
36,3,5,0.563,0.9902,0.9681,0.7591,0.6379,0.9364,0.0068,0.1395,0.6527
33,2,5,0.5167,0.9934,0.9687,0.81,0.6325,0.9357,0.0169,0.1515,0.6318
33,1,5,0.5136,0.9924,0.9676,0.7873,0.6206,0.9191,0.0086,0.155,0.6339
33,3,5,0.5598,0.9909,0.9686,0.7714,0.6417,0.9282,0.004,0.1657,0.6545
36,2,5,0.5774,0.9909,0.9695,0.7768,0.6546,0.9351,0.0085,0.1387,0.6477
33,3,5,0.5805,0.9889,0.9678,0.7413,0.6398,0.9399,0.0011,0.1864,0.653
36,3,5,0.5502,0.9908,0.9679,0.765,0.6331,0.9369,0.0127,0.1363,0.6493
33,4,5,0.5853,0.9892,0.9683,0.7475,0.6454,0.9481,0.0474,0.0945,0.6599
33,4,5,0.5518,0.9902,0.9675,0.7555,0.6296,0.9457,0.0178,0.1235,0.6655
33,4,5,0.5024,0.9922,0.9669,0.7797,0.6103,0.9453,0.0164,0.1323,0.6688
33,4,5,0.5662,0.9914,0.9694,0.7819,0.6504,0.9396,0.0175,0.1243,0.6673
33,4,5,0.5742,0.9889,0.9675,0.7392,0.6351,0.9282,0.0061,0.1665,0.6742
33,3,5,0.6284,0.9861,0.9676,0.7125,0.6523,0.9454,0.0316,0.1,0.6605
33,3,5,0.547,0.9928,0.9697,0.8052,0.6492,0.9385,0.0047,0.1627,0.6586
