model_key,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,valid_mcc,train_bce,valid_bce,lr,fold,finished_at
esm-t33,0.6333,0.9922,0.9663,0.8636,0.723,0.9684,0.9003,0.0153,0.0585,0.0003,0,2023-12-20 01:05:36
esm-t33,0.7,0.9896,0.9688,0.84,0.7506,0.9397,0.9235,0.0039,0.0498,0.0003,1,2023-12-20 01:05:50
esm-t33,0.6833,0.9922,0.97,0.8723,0.7569,0.9418,0.9184,0.013,0.0365,0.0003,2,2023-12-20 01:06:04
esm-t33,0.7333,0.9896,0.9712,0.8462,0.7726,0.9044,0.7479,0.0138,0.1443,0.0003,3,2023-12-20 01:06:18
esm-t33,0.6667,0.9948,0.9712,0.9091,0.7646,0.8833,0.6968,0.0107,0.3697,0.0003,4,2023-12-20 01:06:32
esm-t33-rboost50,0.65,0.9935,0.9688,0.8864,0.7438,0.9469,0.9003,,,,0,2023-12-20 01:09:00
esm-t33-rboost50,0.65,0.9948,0.97,0.907,0.7534,0.9667,0.8854,,,,1,2023-12-20 01:11:29
esm-t33-rboost50,0.6,0.9948,0.9663,0.9,0.7192,0.9678,0.9342,,,,2,2023-12-20 01:14:00
esm-t33-rboost50,0.6,0.9935,0.9651,0.878,0.7093,0.9465,0.8614,,,,3,2023-12-20 01:16:34
esm-t33-rboost50,0.6,0.9961,0.9675,0.9231,0.7295,0.9315,0.6638,,,,4,2023-12-20 01:19:08
esm-33-gearnet,0.6333,0.9922,0.9663,0.8636,0.723,0.958,0.9182,0.0009,0.0587,0.0003,0,2023-12-20 01:32:14
esm-33-gearnet,0.7333,0.9896,0.9712,0.8462,0.7726,0.9585,0.9523,0.0015,0.0252,0.0003,1,2023-12-20 01:32:34
esm-33-gearnet,0.5833,0.9948,0.9651,0.8974,0.7076,0.9757,0.9678,0.0018,0.0313,0.0003,2,2023-12-20 01:32:54
esm-33-gearnet,0.7333,0.9948,0.976,0.9167,0.8078,0.9744,0.8514,0.0014,0.1303,0.0003,3,2023-12-20 01:33:14
esm-33-gearnet,0.7,0.987,0.9663,0.8077,0.7342,0.9236,0.6926,0.0029,0.5124,0.0003,4,2023-12-20 01:33:34
esm-t33-pretrained,0.6667,0.9922,0.9688,0.8696,0.7458,0.9697,0.9076,0.0143,0.0521,0.0003,0,2023-12-20 01:33:50
esm-t33-pretrained,0.6833,0.9935,0.9712,0.8913,0.7661,0.954,0.9376,0.0311,0.0295,0.0003,1,2023-12-20 01:34:05
esm-t33-pretrained,0.65,0.9935,0.9688,0.8864,0.7438,0.9675,0.9184,0.0096,0.0308,0.0003,2,2023-12-20 01:34:21
esm-t33-pretrained,0.6333,0.9883,0.9627,0.8085,0.6966,0.9627,0.7291,0.0083,0.2101,0.0003,3,2023-12-20 01:34:36
esm-t33-pretrained,0.7,0.9935,0.9724,0.8936,0.7771,0.9676,0.6968,0.0078,0.3661,0.0003,4,2023-12-20 01:34:52
esm-t33-pretrained-freezelm,0.7333,0.9702,0.9531,0.6567,0.6688,0.9659,0.8201,0.082,0.0682,0.0003,0,2023-12-20 01:35:06
esm-t33-pretrained-freezelm,0.6833,0.9767,0.9555,0.6949,0.6652,0.9588,0.8615,0.087,0.0651,0.0003,1,2023-12-20 01:35:20
esm-t33-pretrained-freezelm,0.6833,0.9832,0.9615,0.7593,0.6998,0.9595,0.8308,0.0823,0.069,0.0003,2,2023-12-20 01:35:35
esm-t33-pretrained-freezelm,0.5333,0.9974,0.9639,0.9412,0.6935,0.9704,0.6771,0.0593,0.1033,0.0003,3,2023-12-20 01:35:49
esm-t33-pretrained-freezelm,0.5667,0.9961,0.9651,0.9189,0.7062,0.9618,0.6295,0.0442,0.1892,0.0003,4,2023-12-20 01:36:03
esm-t33-pretrained-rboost50,0.6333,0.9922,0.9663,0.8636,0.723,0.9736,0.9003,,,,0,2023-12-20 01:38:47
esm-t33-pretrained-rboost50,0.6,0.9935,0.9651,0.878,0.7093,0.9628,0.9205,,,,1,2023-12-20 01:41:29
esm-t33-pretrained-rboost50,0.6167,0.9974,0.97,0.9487,0.7515,0.9816,0.901,,,,2,2023-12-20 01:44:11
esm-t33-pretrained-rboost50,0.6167,0.9961,0.9688,0.925,0.741,0.9721,0.8614,,,,3,2023-12-20 01:46:54
esm-t33-pretrained-rboost50,0.6333,0.9961,0.97,0.9268,0.7523,0.9688,0.6968,,,,4,2023-12-20 01:49:37
esm-33-gearnet-pretrained,0.6667,0.9896,0.9663,0.8333,0.7281,0.9224,0.9182,0.0005,0.057,0.0003,0,2023-12-20 02:03:32
esm-33-gearnet-pretrained,0.5667,0.9948,0.9639,0.8947,0.6957,0.9551,0.9523,0.0005,0.0564,0.0003,1,2023-12-20 02:03:53
esm-33-gearnet-pretrained,0.6667,0.9935,0.97,0.8889,0.755,0.9726,0.9678,0.0016,0.0301,0.0003,2,2023-12-20 02:04:14
esm-33-gearnet-pretrained,0.6667,0.9935,0.97,0.8889,0.755,0.974,0.7512,0.0008,0.1398,0.0003,3,2023-12-20 02:04:35
esm-33-gearnet-pretrained,0.75,0.9883,0.9712,0.8333,0.7753,0.9391,0.7247,0.0007,0.4952,0.0003,4,2023-12-20 02:04:57
