model_key,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,valid_mcc,train_bce,valid_bce,lr,fold,finished_at
esm-t33,0.6301,0.9965,0.9677,0.9388,0.7544,0.9555,0.887,0.0254,0.0528,0.0003,0,2023-12-08 01:49:07
esm-t33,0.6438,0.9965,0.9688,0.94,0.7635,0.9624,0.5689,0.0078,0.2276,0.0003,1,2023-12-08 01:49:27
esm-t33,0.6164,0.9965,0.9667,0.9375,0.7451,0.9352,0.9222,0.0225,0.0558,0.0003,2,2023-12-08 01:49:47
esm-t33,0.5753,0.9988,0.9656,0.9767,0.7354,0.9699,0.9303,0.0279,0.0479,0.0003,3,2023-12-08 01:50:08
esm-t33,0.6301,0.9942,0.9656,0.902,0.7375,0.9595,0.7111,0.0166,0.1623,0.0003,4,2023-12-08 01:50:28
esm-33-gearnet,0.5753,0.9965,0.9634,0.9333,0.7167,0.9083,0.9142,0.0024,0.0476,0.0003,0,2023-12-08 01:50:57
esm-33-gearnet,0.6438,0.9918,0.9645,0.8704,0.731,0.9404,0.5761,0.0025,0.334,0.0003,1,2023-12-08 01:51:27
esm-33-gearnet,0.6301,0.9965,0.9677,0.9388,0.7544,0.9417,0.9032,0.0019,0.0653,0.0003,2,2023-12-08 01:51:56
esm-33-gearnet,0.589,0.9907,0.9591,0.8431,0.6848,0.9543,0.8775,0.0118,0.0609,0.0003,3,2023-12-08 01:52:25
esm-33-gearnet,0.6438,0.9977,0.9699,0.9592,0.7723,0.9297,0.6763,0.003,0.2568,0.0003,4,2023-12-08 01:52:54
esm-t33-pretrained,0.589,0.9977,0.9656,0.9556,0.7354,0.9775,0.9201,0.0143,0.0428,0.0003,0,2023-12-08 01:53:16
esm-t33-pretrained,0.5753,0.9977,0.9645,0.9545,0.7259,0.9536,0.6246,0.0062,0.2177,0.0003,1,2023-12-08 01:53:37
esm-t33-pretrained,0.5479,0.9977,0.9624,0.9524,0.7066,0.9622,0.8503,0.0119,0.1028,0.0003,2,2023-12-08 01:53:59
esm-t33-pretrained,0.6575,0.9872,0.9613,0.8136,0.7113,0.9679,0.9342,0.0183,0.0431,0.0003,3,2023-12-08 01:54:20
esm-t33-pretrained,0.6027,0.9965,0.9656,0.9362,0.7357,0.9744,0.6763,0.0074,0.2399,0.0003,4,2023-12-08 01:54:42
esm-t33-pretrained-freezelm,0.6575,0.9953,0.9688,0.9231,0.7642,0.9009,0.9003,0.0609,0.0428,0.0003,0,2023-12-08 01:55:02
esm-t33-pretrained-freezelm,0.6438,0.9953,0.9677,0.9216,0.7551,0.8937,0.5835,0.0451,0.1415,0.0003,1,2023-12-08 01:55:21
esm-t33-pretrained-freezelm,0.6575,0.9953,0.9688,0.9231,0.7642,0.8971,0.8542,0.0519,0.0542,0.0003,2,2023-12-08 01:55:41
esm-t33-pretrained-freezelm,0.5753,0.9953,0.9624,0.913,0.7078,0.8898,0.8925,0.0539,0.0465,0.0003,3,2023-12-08 01:56:01
esm-t33-pretrained-freezelm,0.4521,0.9988,0.9559,0.9706,0.6461,0.8772,0.6508,0.0394,0.1267,0.0003,4,2023-12-08 01:56:21
esm-33-gearnet-pretrained,0.5616,0.9977,0.9634,0.9535,0.7163,0.9409,0.909,0.0004,0.0619,0.0003,0,2023-12-08 01:56:52
esm-33-gearnet-pretrained,0.7808,0.9673,0.9527,0.6706,0.6982,0.9591,0.4922,0.0043,0.4343,0.0003,1,2023-12-08 01:57:25
esm-33-gearnet-pretrained,0.6301,0.9953,0.9667,0.92,0.7458,0.9664,0.8868,0.0023,0.076,0.0003,2,2023-12-08 01:57:58
esm-33-gearnet-pretrained,0.5342,0.9953,0.9591,0.907,0.6782,0.9343,0.8695,0.0063,0.0533,0.0003,3,2023-12-08 01:58:30
esm-33-gearnet-pretrained,0.6575,0.9988,0.972,0.9796,0.7902,0.9481,0.7049,0.0053,0.1978,0.0003,4,2023-12-08 01:59:03
esm-33-gearnet-pretrained-freezelm,0.6438,0.9988,0.971,0.9792,0.7812,0.9454,0.9287,0.0055,0.0539,0.0003,0,2023-12-08 01:59:33
esm-33-gearnet-pretrained-freezelm,0.6712,0.9965,0.971,0.9423,0.7816,0.9462,0.5967,0.0027,0.2883,0.0003,1,2023-12-08 02:00:04
esm-33-gearnet-pretrained-freezelm,0.6986,0.9965,0.9731,0.9444,0.7994,0.9316,0.8816,0.0002,0.0678,0.0003,2,2023-12-08 02:00:35
esm-33-gearnet-pretrained-freezelm,0.6164,0.9953,0.9656,0.9184,0.7365,0.9326,0.8711,0.0004,0.0774,0.0003,3,2023-12-08 02:01:06
esm-33-gearnet-pretrained-freezelm,0.6164,0.9988,0.9688,0.9783,0.7632,0.94,0.6808,0.0012,0.268,0.0003,4,2023-12-08 02:01:36
esm-33-gearnet-pretrained-freezeall,0.6712,0.9837,0.9591,0.7778,0.7009,0.8836,0.7552,0.0564,0.1366,0.0003,0,2023-12-08 02:02:04
esm-33-gearnet-pretrained-freezeall,0.4384,0.9988,0.9548,0.9697,0.6356,0.9054,0.6291,0.0298,0.1722,0.0003,1,2023-12-08 02:02:31
esm-33-gearnet-pretrained-freezeall,0.6164,0.9837,0.9548,0.7627,0.6621,0.8842,0.8913,0.049,0.0509,0.0003,2,2023-12-08 02:02:58
esm-33-gearnet-pretrained-freezeall,0.5616,0.9475,0.9172,0.4767,0.4727,0.854,0.6746,0.064,0.1147,0.0003,3,2023-12-08 02:03:25
esm-33-gearnet-pretrained-freezeall,0.4795,0.9848,0.9452,0.7292,0.5644,0.8799,0.558,0.0374,0.2257,0.0003,4,2023-12-08 02:03:53
esm-33-gearnet-resiboost,0.6438,0.9965,0.9688,0.94,0.7635,0.9572,0.9158,,,,0,2023-12-08 02:09:38
esm-33-gearnet-resiboost,0.6438,0.9988,0.971,0.9792,0.7812,0.9595,0.6344,,,,1,2023-12-08 02:15:31
esm-33-gearnet-resiboost,0.6575,0.9977,0.971,0.96,0.7813,0.9586,0.9232,,,,2,2023-12-08 02:21:23
esm-33-gearnet-resiboost,0.6301,0.9965,0.9677,0.9388,0.7544,0.9445,0.9016,,,,3,2023-12-08 02:27:10
esm-33-gearnet-resiboost,0.6301,0.9988,0.9699,0.9787,0.7722,0.9578,0.7189,,,,4,2023-12-08 02:33:02
esm-33-gearnet-pretrained-resiboost,0.6575,0.9988,0.972,0.9796,0.7902,0.975,0.9299,,,,0,2023-12-08 02:38:54
esm-33-gearnet-pretrained-resiboost,0.6575,0.9988,0.972,0.9796,0.7902,0.975,0.6164,,,,1,2023-12-08 02:44:50
esm-33-gearnet-pretrained-resiboost,0.6575,0.9988,0.972,0.9796,0.7902,0.9716,0.9116,,,,2,2023-12-08 02:50:41
esm-33-gearnet-pretrained-resiboost,0.6575,0.9895,0.9634,0.8421,0.7255,0.9557,0.9239,,,,3,2023-12-08 02:56:39
esm-33-gearnet-pretrained-resiboost,0.6575,0.9977,0.971,0.96,0.7813,0.9483,0.721,,,,4,2023-12-08 03:02:38
esm-33-gearnet-pretrained-freezelm-resiboost,0.6438,0.9988,0.971,0.9792,0.7812,0.9642,0.9299,,,,0,2023-12-08 03:08:15
esm-33-gearnet-pretrained-freezelm-resiboost,0.6575,0.9988,0.972,0.9796,0.7902,0.9554,0.6337,,,,1,2023-12-08 03:13:53
esm-33-gearnet-pretrained-freezelm-resiboost,0.6712,0.9988,0.9731,0.98,0.799,0.9692,0.9232,,,,2,2023-12-08 03:19:30
esm-33-gearnet-pretrained-freezelm-resiboost,0.6712,0.9942,0.9688,0.9074,0.7652,0.9454,0.9342,,,,3,2023-12-08 03:25:03
esm-33-gearnet-pretrained-freezelm-resiboost,0.6849,0.9988,0.9742,0.9804,0.8078,0.951,0.7241,,,,4,2023-12-08 03:30:36
esm-33-gearnet-pretrained-freezelm-test,0.7397,0.9895,0.9699,0.8571,0.7804,0.9655,0.8436,,,,0,2023-12-08 03:36:08
esm-33-gearnet-pretrained-freezelm-test,0.7123,0.9953,0.9731,0.9286,0.8001,0.9526,0.5804,,,,1,2023-12-08 03:41:43
esm-33-gearnet-pretrained-freezelm-test,0.7397,0.9918,0.972,0.8852,0.7947,0.9335,0.8663,,,,2,2023-12-08 03:47:21
esm-33-gearnet-pretrained-freezelm-test,0.7123,0.9895,0.9677,0.8525,0.7624,0.9399,0.9012,,,,3,2023-12-08 03:52:57
esm-33-gearnet-pretrained-freezelm-test,0.6986,0.9965,0.9731,0.9444,0.7994,0.9445,0.6486,,,,4,2023-12-08 03:58:34
esm-33-gearnet-rboost50,0.6712,0.9965,0.971,0.9423,0.7816,0.9603,0.909,,,,0,2023-12-08 17:50:35
esm-33-gearnet-rboost50,0.6438,0.9988,0.971,0.9792,0.7812,0.963,0.6259,,,,1,2023-12-08 17:56:17
esm-33-gearnet-rboost50,0.6438,0.9977,0.9699,0.9592,0.7723,0.9589,0.9232,,,,2,2023-12-08 18:02:04
esm-33-gearnet-rboost50,0.6438,0.9918,0.9645,0.8704,0.731,0.9475,0.9136,,,,3,2023-12-08 18:07:51
esm-33-gearnet-rboost50,0.6301,0.9965,0.9677,0.9388,0.7544,0.9266,0.7283,,,,4,2023-12-08 18:13:36
esm-33-gearnet-pretrained-rboost50,0.6438,0.9988,0.971,0.9792,0.7812,0.9754,0.9299,,,,0,2023-12-08 18:19:28
esm-33-gearnet-pretrained-rboost50,0.6575,0.9977,0.971,0.96,0.7813,0.9695,0.6235,,,,1,2023-12-08 18:25:23
esm-33-gearnet-pretrained-rboost50,0.6712,0.9977,0.972,0.9608,0.7902,0.9722,0.9232,,,,2,2023-12-08 18:31:20
esm-33-gearnet-pretrained-rboost50,0.6438,0.9965,0.9688,0.94,0.7635,0.961,0.9213,,,,3,2023-12-08 18:37:15
esm-33-gearnet-pretrained-rboost50,0.6438,0.9988,0.971,0.9792,0.7812,0.9368,0.7046,,,,4,2023-12-08 18:43:13
esm-33-gearnet-pretrained-rboost10,0.6986,0.9942,0.971,0.9107,0.7833,0.9682,0.9003,,,,0,2023-12-08 18:49:09
esm-33-gearnet-pretrained-rboost10,0.6712,0.9953,0.9699,0.9245,0.7733,0.9557,0.6029,,,,1,2023-12-08 18:55:09
esm-33-gearnet-pretrained-rboost10,0.6575,0.9965,0.9699,0.9412,0.7726,0.9465,0.9131,,,,2,2023-12-08 19:01:05
esm-33-gearnet-pretrained-rboost10,0.6712,0.9848,0.9602,0.7903,0.7074,0.9485,0.9239,,,,3,2023-12-08 19:06:59
esm-33-gearnet-pretrained-rboost10,0.6849,0.9977,0.9731,0.9615,0.799,0.9276,0.6964,,,,4,2023-12-08 19:12:51
esm-33-gearnet-pretrained-freezelm-rboost50,0.6575,0.9988,0.972,0.9796,0.7902,0.9703,0.9299,,,,0,2023-12-08 19:18:18
esm-33-gearnet-pretrained-freezelm-rboost50,0.6712,0.9988,0.9731,0.98,0.799,0.9663,0.6259,,,,1,2023-12-08 19:23:48
esm-33-gearnet-pretrained-freezelm-rboost50,0.6712,0.9988,0.9731,0.98,0.799,0.9578,0.9131,,,,2,2023-12-08 19:29:20
esm-33-gearnet-pretrained-freezelm-rboost50,0.6438,0.9953,0.9677,0.9216,0.7551,0.9385,0.9136,,,,3,2023-12-08 19:34:48
esm-33-gearnet-pretrained-freezelm-rboost50,0.6712,0.9988,0.9731,0.98,0.799,0.9455,0.7241,,,,4,2023-12-08 19:40:23
esm-33-gearnet-pretrained-freezelm-rboost25,0.6575,0.9988,0.972,0.9796,0.7902,0.95,0.9299,,,,0,2023-12-08 19:45:54
esm-33-gearnet-pretrained-freezelm-rboost25,0.6849,0.9977,0.9731,0.9615,0.799,0.9534,0.6097,,,,1,2023-12-08 19:51:29
esm-33-gearnet-pretrained-freezelm-rboost25,0.6849,0.9977,0.9731,0.9615,0.799,0.9359,0.9131,,,,2,2023-12-08 19:57:04
esm-33-gearnet-pretrained-freezelm-rboost25,0.6986,0.993,0.9699,0.8947,0.7755,0.9399,0.9173,,,,3,2023-12-08 20:02:40
esm-33-gearnet-pretrained-freezelm-rboost25,0.6712,0.9988,0.9731,0.98,0.799,0.921,0.7241,,,,4,2023-12-08 20:08:13
esm-33-gearnet-pretrained-freezelm-rboost10,0.6986,0.9965,0.9731,0.9444,0.7994,0.9642,0.9109,,,,0,2023-12-08 20:13:41
esm-33-gearnet-pretrained-freezelm-rboost10,0.6986,0.9953,0.972,0.9273,0.7912,0.9509,0.5946,,,,1,2023-12-08 20:19:13
esm-33-gearnet-pretrained-freezelm-rboost10,0.6986,0.9942,0.971,0.9107,0.7833,0.9357,0.8842,,,,2,2023-12-08 20:24:43
esm-33-gearnet-pretrained-freezelm-rboost10,0.6575,0.9942,0.9677,0.9057,0.7561,0.9416,0.9049,,,,3,2023-12-08 20:30:14
esm-33-gearnet-pretrained-freezelm-rboost10,0.6986,0.9988,0.9753,0.9808,0.8164,0.9395,0.6752,,,,4,2023-12-08 20:35:47
esm-33-gearnet-pretrained-freezelm-rboost05,0.726,0.9942,0.9731,0.9138,0.801,0.9477,0.8764,,,,0,2023-12-08 20:41:16
esm-33-gearnet-pretrained-freezelm-rboost05,0.726,0.9918,0.971,0.8833,0.7859,0.9461,0.5607,,,,1,2023-12-08 20:46:49
esm-33-gearnet-pretrained-freezelm-rboost05,0.726,0.9942,0.9731,0.9138,0.801,0.9417,0.8577,,,,2,2023-12-08 20:52:26
esm-33-gearnet-pretrained-freezelm-rboost05,0.6986,0.9872,0.9645,0.8226,0.7394,0.929,0.8785,,,,3,2023-12-08 20:57:59
esm-33-gearnet-pretrained-freezelm-rboost05,0.6986,0.9953,0.972,0.9273,0.7912,0.9548,0.6385,,,,4,2023-12-08 21:03:33
esm-33-gearnet-ensemble,0.6164,0.9988,0.9688,0.9783,0.7632,0.9552,0.9158,,,,0,2023-12-09 22:33:21
esm-33-gearnet-ensemble,0.6301,0.9988,0.9699,0.9787,0.7722,0.9586,0.6243,,,,1,2023-12-09 22:39:01
esm-33-gearnet-ensemble,0.6986,0.9883,0.9656,0.8361,0.7463,0.9613,0.9032,,,,2,2023-12-09 22:44:49
esm-33-gearnet-ensemble,0.5616,0.9977,0.9634,0.9535,0.7163,0.9494,0.9101,,,,3,2023-12-09 22:50:35
esm-33-gearnet-ensemble,0.6301,0.9988,0.9699,0.9787,0.7722,0.9482,0.7049,,,,4,2023-12-09 22:56:20
esm-33-gearnet-pretrained-ensemble,0.6164,0.9977,0.9677,0.9574,0.754,0.9752,0.9214,,,,0,2023-12-09 23:02:03
esm-33-gearnet-pretrained-ensemble,0.6712,0.9988,0.9731,0.98,0.799,0.9678,0.6157,,,,1,2023-12-09 23:07:56
esm-33-gearnet-pretrained-ensemble,0.6438,0.9953,0.9677,0.9216,0.7551,0.968,0.9222,,,,2,2023-12-09 23:13:50
