model_key,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,valid_mcc,train_bce,valid_bce,lr,fold,finished_at
esm-t33,0.6321,0.985,0.9713,0.6291,0.6157,0.9583,0.8289,0.0592,0.0781,0.0003,0,2023-12-08 01:27:54
esm-t33,0.6509,0.9937,0.9805,0.807,0.715,0.9552,0.8566,0.0435,0.094,0.0003,1,2023-12-08 01:28:53
esm-t33,0.4245,0.9979,0.9757,0.8911,0.6057,0.9051,0.8185,0.0448,0.1601,0.0003,2,2023-12-08 01:29:52
esm-t33,0.6226,0.9924,0.9781,0.7674,0.6802,0.9709,0.6207,0.0466,0.1787,0.0003,3,2023-12-08 01:30:52
esm-t33,0.6415,0.996,0.9823,0.8662,0.737,0.9422,0.8296,0.0473,0.08,0.0003,4,2023-12-08 01:31:51
esm-33-gearnet,0.566,0.9949,0.9783,0.8163,0.6695,0.884,0.8642,0.0179,0.1156,0.0003,0,2023-12-08 01:33:25
esm-33-gearnet,0.5519,0.9945,0.9774,0.8014,0.6543,0.8908,0.8523,0.0131,0.1063,0.0003,1,2023-12-08 01:34:57
esm-33-gearnet,0.4292,0.9964,0.9744,0.8273,0.5853,0.7466,0.8121,0.0172,0.6843,0.0003,2,2023-12-08 01:36:30
esm-33-gearnet,0.5472,0.9897,0.9726,0.6824,0.5972,0.8985,0.625,0.0085,0.5082,0.0003,3,2023-12-08 01:38:00
esm-33-gearnet,0.5896,0.9839,0.9686,0.5952,0.5761,0.8834,0.7699,0.0167,0.1315,0.0003,4,2023-12-08 01:39:31
esm-t33-pretrained,0.7311,0.9713,0.962,0.5065,0.59,0.9421,0.7766,0.0891,0.0884,0.0003,0,2023-12-08 01:40:31
esm-t33-pretrained,0.6604,0.9835,0.971,0.6167,0.6231,0.9544,0.8582,0.0582,0.067,0.0003,1,2023-12-08 01:41:32
esm-t33-pretrained,0.4481,0.9894,0.9684,0.6291,0.5154,0.8955,0.8269,0.0643,0.1497,0.0003,2,2023-12-08 01:42:33
esm-t33-pretrained,0.6321,0.9928,0.9788,0.7791,0.6911,0.9687,0.6262,0.0403,0.1942,0.0003,3,2023-12-08 01:43:33
esm-t33-pretrained,0.6085,0.9937,0.9788,0.7963,0.6857,0.9591,0.832,0.0479,0.0637,0.0003,4,2023-12-08 01:44:34
esm-t33-pretrained-freezelm,0.5519,0.993,0.9759,0.7597,0.6358,0.9162,0.8487,0.0676,0.0799,0.0003,0,2023-12-08 01:45:27
