lm_key,gearnet_layers,r,lora_dropout,early_stop_metric,train_layer,bias,patience,lr,gpu,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc,epoch_count
facebook/esm2_t33_650M_UR50D,4,8,0,valid_mcc,33,all,5,0.001,1,0.5518,0.9887,0.966,0.7269,0.6163,0.9293,0.0125,0.1489,0.6598,14
facebook/esm2_t33_650M_UR50D,4,10,0,valid_mcc,33,all,5,0.001,1,0.5726,0.9887,0.9671,0.7342,0.6317,0.9225,0.0037,0.1741,0.6724,20
facebook/esm2_t33_650M_UR50D,4,8,0,valid_mcc,33,all,5,0.001,0,0.6188,0.9845,0.9656,0.6855,0.6333,0.9303,0.0065,0.1592,0.6812,19
facebook/esm2_t33_650M_UR50D,4,4,0,valid_mcc,33,all,5,0.001,1,0.5949,0.9874,0.967,0.7201,0.6376,0.926,0.0032,0.186,0.6625,21
facebook/esm2_t33_650M_UR50D,4,6,0,valid_mcc,33,all,5,0.001,1,0.5758,0.9873,0.966,0.712,0.6229,0.9311,0.0203,0.1362,0.6587,11
facebook/esm2_t33_650M_UR50D,4,10,0,valid_mcc,33,all,5,0.001,0,0.4769,0.9679,0.9425,0.4483,0.432,0.891,0.0677,0.1544,0.4482,13
facebook/esm2_t33_650M_UR50D,4,12,0,valid_mcc,33,all,5,0.001,1,0.3206,0.9934,0.9585,0.7256,0.4653,0.8856,0.0036,0.3887,0.4901,22
facebook/esm2_t33_650M_UR50D,4,4,0,valid_mcc,33,all,5,0.001,0,0.6124,0.9853,0.966,0.6944,0.6344,0.9336,0.0062,0.1706,0.6659,18
facebook/esm2_t33_650M_UR50D,4,14,0,valid_mcc,33,all,5,0.001,1,0.3429,0.994,0.9603,0.757,0.4933,0.8998,0.0193,0.2471,0.5227,16
facebook/esm2_t33_650M_UR50D,4,6,0,valid_mcc,33,all,5,0.001,0,0.5805,0.9884,0.9673,0.7324,0.6355,0.9227,0.0054,0.1764,0.6627,17
facebook/esm2_t33_650M_UR50D,4,12,0,valid_mcc,33,all,5,0.001,0,0.5183,0.993,0.9684,0.8025,0.6302,0.9293,0.0167,0.1558,0.6627,13
facebook/esm2_t33_650M_UR50D,4,14,0,valid_mcc,33,all,5,0.001,0,0.488,0.9927,0.9665,0.7846,0.6033,0.9202,0.0069,0.1923,0.6657,22
facebook/esm2_t33_650M_UR50D,4,1,0,valid_mcc,33,all,5,0.001,1,0.5869,0.9888,0.968,0.7419,0.6437,0.9355,0.0051,0.1844,0.6655,18
facebook/esm2_t33_650M_UR50D,4,2,0,valid_mcc,33,all,5,0.001,1,0.5726,0.9872,0.9657,0.7095,0.6198,0.9244,0.0097,0.1543,0.6607,18
