lm_key,r,lora_dropout,early_stop_metric,train_layer,bias,patience,lr,gpu,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc,epoch_count
facebook/esm2_t33_650M_UR50D,1,0.0,valid_bce,33,none,3,0.001,1,0.453,0.9928,0.9648,0.7738,0.5761,0.9316,0.0715,0.0994,0.5978,6
facebook/esm2_t33_650M_UR50D,1,0.0,valid_bce,33,none,3,0.0005,1,0.4067,0.9943,0.9638,0.7944,0.553,0.9403,0.0877,0.0992,0.5667,6
facebook/esm2_t33_650M_UR50D,1,0.0,valid_bce,33,all,3,0.001,1,0.4625,0.9924,0.965,0.7692,0.5804,0.9431,0.0937,0.0962,0.5916,5
facebook/esm2_t33_650M_UR50D,1,0.0,valid_bce,33,all,3,0.0005,1,0.4817,0.9916,0.9652,0.7588,0.5882,0.9311,0.0803,0.0962,0.5884,6
facebook/esm2_t33_650M_UR50D,1,0.0,valid_bce,16,none,3,0.001,1,0.4721,0.9908,0.9639,0.7363,0.5725,0.9466,0.1023,0.1011,0.5519,5
facebook/esm2_t33_650M_UR50D,1,0.0,valid_bce,16,none,3,0.0005,1,0.5678,0.9864,0.9647,0.6953,0.6102,0.9378,0.0563,0.1009,0.5728,8
facebook/esm2_t33_650M_UR50D,1,0.0,valid_bce,16,all,3,0.001,1,0.5008,0.988,0.9627,0.6947,0.5713,0.9443,0.0975,0.0992,0.5707,5
facebook/esm2_t33_650M_UR50D,1,0.0,valid_bce,16,all,3,0.0005,1,0.4147,0.9922,0.9623,0.7429,0.5381,0.9338,0.0865,0.102,0.5594,6
facebook/esm2_t33_650M_UR50D,1,0.0,valid_mcc,33,none,3,0.001,1,0.5662,0.9858,0.9641,0.6853,0.6044,0.9111,0.0061,0.2158,0.6097,14
facebook/esm2_t33_650M_UR50D,1,0.0,valid_mcc,33,none,3,0.0005,1,0.5518,0.9873,0.9647,0.7033,0.6051,0.9277,0.0331,0.1251,0.5912,9
facebook/esm2_t33_650M_UR50D,1,0.0,valid_mcc,33,all,3,0.001,1,0.5279,0.9903,0.9664,0.7489,0.6123,0.9353,0.0646,0.099,0.6221,6
facebook/esm2_t33_650M_UR50D,1,0.0,valid_mcc,33,all,3,0.0005,1,0.5407,0.9891,0.9659,0.7306,0.6115,0.9303,0.04,0.1112,0.6104,8
facebook/esm2_t33_650M_UR50D,1,0.0,valid_mcc,16,none,3,0.001,1,0.5614,0.9855,0.9636,0.6795,0.5989,0.9175,0.0247,0.1478,0.5978,9
facebook/esm2_t33_650M_UR50D,1,0.0,valid_mcc,16,none,3,0.0005,1,0.5662,0.988,0.9661,0.7201,0.6213,0.9421,0.0566,0.1027,0.587,8
facebook/esm2_t33_650M_UR50D,1,0.0,valid_mcc,16,all,3,0.001,1,0.5183,0.9904,0.966,0.7471,0.6058,0.935,0.0664,0.1005,0.6024,6
facebook/esm2_t33_650M_UR50D,1,0.0,valid_mcc,16,all,3,0.0005,1,0.512,0.9874,0.9627,0.6888,0.5752,0.9335,0.0305,0.1279,0.5898,9
facebook/esm2_t33_650M_UR50D,1,0.1,valid_bce,33,none,3,0.001,1,0.4705,0.9908,0.9638,0.7357,0.5712,0.9464,0.1016,0.0997,0.5644,5
facebook/esm2_t33_650M_UR50D,1,0.1,valid_bce,33,none,3,0.0005,1,0.4226,0.9938,0.9642,0.7887,0.5618,0.9391,0.088,0.0991,0.5718,6
facebook/esm2_t33_650M_UR50D,1,0.1,valid_bce,33,all,3,0.001,1,0.4242,0.9943,0.9647,0.8012,0.5679,0.9371,0.0951,0.0968,0.5869,5
facebook/esm2_t33_650M_UR50D,1,0.1,valid_bce,33,all,3,0.0005,1,0.445,0.9931,0.9647,0.7793,0.5731,0.9261,0.081,0.0979,0.5932,6
facebook/esm2_t33_650M_UR50D,1,0.1,valid_bce,16,none,3,0.001,1,0.4689,0.991,0.964,0.7406,0.5723,0.9431,0.1025,0.1014,0.5536,5
facebook/esm2_t33_650M_UR50D,1,0.1,valid_bce,16,none,3,0.0005,1,0.5263,0.9895,0.9656,0.7333,0.6043,0.938,0.0566,0.1023,0.5799,8
facebook/esm2_t33_650M_UR50D,1,0.1,valid_bce,16,all,3,0.001,1,0.5295,0.9864,0.9627,0.6803,0.5813,0.9436,0.0982,0.1013,0.5638,5
facebook/esm2_t33_650M_UR50D,1,0.1,valid_bce,16,all,3,0.0005,1,0.4354,0.9909,0.9621,0.7222,0.5431,0.9355,0.087,0.1019,0.5617,6
facebook/esm2_t33_650M_UR50D,1,0.1,valid_mcc,33,none,3,0.001,1,0.5423,0.9866,0.9636,0.6883,0.5924,0.9133,0.0085,0.1975,0.6088,12
facebook/esm2_t33_650M_UR50D,1,0.1,valid_mcc,33,none,3,0.0005,1,0.5247,0.9891,0.9651,0.7247,0.5993,0.9215,0.0354,0.1261,0.581,9
facebook/esm2_t33_650M_UR50D,1,0.1,valid_mcc,33,all,3,0.001,1,0.5199,0.9907,0.9663,0.7529,0.6093,0.9288,0.066,0.0958,0.6186,6
facebook/esm2_t33_650M_UR50D,1,0.1,valid_mcc,33,all,3,0.0005,1,0.5375,0.9883,0.965,0.7155,0.6026,0.9125,0.0217,0.133,0.6108,10
facebook/esm2_t33_650M_UR50D,1,0.1,valid_mcc,16,none,3,0.001,1,0.5694,0.985,0.9635,0.6749,0.601,0.9211,0.0185,0.1499,0.6045,10
facebook/esm2_t33_650M_UR50D,1,0.1,valid_mcc,16,none,3,0.0005,1,0.5263,0.987,0.9632,0.6889,0.5836,0.9085,0.0088,0.2209,0.5864,14
