model_key,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,valid_mcc,train_bce,valid_bce,lr,fold,finished_at
esm-t33,0.7667,0.9909,0.9748,0.8679,0.8024,0.9511,0.8815,0.0085,0.0789,0.0003,0,2023-12-08 10:58:05
esm-t33,0.6833,0.9896,0.9675,0.8367,0.7394,0.9764,0.9376,0.0096,0.0454,0.0003,1,2023-12-08 10:58:19
esm-t33,0.7667,0.9832,0.9675,0.7797,0.7557,0.9619,0.787,0.0159,0.1228,0.0003,2,2023-12-08 10:58:33
esm-t33,0.6833,0.9935,0.9712,0.8913,0.7661,0.8754,0.6968,0.0074,0.4325,0.0003,3,2023-12-08 10:58:46
esm-t33,0.7667,0.9935,0.9772,0.902,0.8198,0.9519,0.904,0.0075,0.0542,0.0003,4,2023-12-08 10:59:00
esm-33-gearnet,0.6667,0.9935,0.97,0.8889,0.755,0.9514,0.9182,0.0003,0.0607,0.0003,0,2023-12-08 10:59:18
esm-33-gearnet,0.75,0.987,0.97,0.8182,0.7673,0.9619,0.9523,0.0022,0.032,0.0003,1,2023-12-08 10:59:37
esm-33-gearnet,0.6333,0.9935,0.9675,0.8837,0.7325,0.9787,0.9216,0.0018,0.0428,0.0003,2,2023-12-08 10:59:55
esm-33-gearnet,0.6833,0.9948,0.9724,0.9111,0.7756,0.9111,0.6926,0.0007,0.5582,0.0003,3,2023-12-08 11:00:13
esm-33-gearnet,0.7667,0.9909,0.9748,0.8679,0.8024,0.964,0.9374,0.001,0.0643,0.0003,4,2023-12-08 11:00:32
esm-t33-pretrained,0.7333,0.9883,0.97,0.8302,0.7644,0.9761,0.9182,0.0086,0.0503,0.0003,0,2023-12-08 11:00:46
esm-t33-pretrained,0.65,0.9935,0.9688,0.8864,0.7438,0.9761,0.9376,0.0077,0.0394,0.0003,1,2023-12-08 11:01:01
esm-t33-pretrained,0.7,0.9922,0.9712,0.875,0.768,0.9706,0.8324,0.0086,0.1111,0.0003,2,2023-12-08 11:01:16
esm-t33-pretrained,0.65,0.9896,0.9651,0.8298,0.7167,0.9396,0.6968,0.0076,0.3414,0.0003,3,2023-12-08 11:01:30
esm-t33-pretrained,0.6167,0.9935,0.9663,0.881,0.721,0.9678,0.9358,0.0085,0.048,0.0003,4,2023-12-08 11:01:46
esm-t33-pretrained-freezelm,0.7167,0.9715,0.9531,0.6615,0.6633,0.9673,0.8086,0.0844,0.0702,0.0003,0,2023-12-08 11:02:00
esm-t33-pretrained-freezelm,0.7,0.9741,0.9543,0.6774,0.664,0.9613,0.8615,0.0871,0.0631,0.0003,1,2023-12-08 11:02:14
esm-t33-pretrained-freezelm,0.7167,0.9767,0.9579,0.7049,0.6881,0.9633,0.7821,0.0794,0.083,0.0003,2,2023-12-08 11:02:29
esm-t33-pretrained-freezelm,0.6,0.9935,0.9651,0.878,0.7093,0.9605,0.6638,0.0438,0.1823,0.0003,3,2023-12-08 11:02:43
esm-t33-pretrained-freezelm,0.6167,0.9961,0.9688,0.925,0.741,0.9674,0.8396,0.0647,0.0675,0.0003,4,2023-12-08 11:02:57
esm-33-gearnet-pretrained,0.6667,0.9922,0.9688,0.8696,0.7458,0.9457,0.8577,0.0007,0.0739,0.0003,0,2023-12-08 11:03:17
esm-33-gearnet-pretrained,0.8167,0.9896,0.9772,0.8596,0.8256,0.9511,0.9523,0.0005,0.0564,0.0003,1,2023-12-08 11:03:37
esm-33-gearnet-pretrained,0.65,0.9935,0.9688,0.8864,0.7438,0.9752,0.9184,0.0008,0.0697,0.0003,2,2023-12-08 11:03:57
esm-33-gearnet-pretrained,0.7333,0.9935,0.9748,0.898,0.7986,0.9358,0.6926,0.0005,0.5576,0.0003,3,2023-12-08 11:04:17
esm-33-gearnet-pretrained,0.7667,0.9883,0.9724,0.8364,0.786,0.9608,0.8749,0.0019,0.0641,0.0003,4,2023-12-08 11:04:37
esm-33-gearnet-pretrained-freezelm,0.6833,0.9922,0.97,0.8723,0.7569,0.965,0.8896,0.0003,0.0511,0.0003,0,2023-12-08 11:04:56
esm-33-gearnet-pretrained-freezelm,0.7667,0.987,0.9712,0.8214,0.7782,0.9753,0.9523,0.0008,0.0309,0.0003,1,2023-12-08 11:05:16
esm-33-gearnet-pretrained-freezelm,0.7,0.9922,0.9712,0.875,0.768,0.9772,0.9336,0.0011,0.0408,0.0003,2,2023-12-08 11:05:34
esm-33-gearnet-pretrained-freezelm,0.7167,0.9845,0.9651,0.7818,0.7299,0.959,0.6926,0.001,0.5509,0.0003,3,2023-12-08 11:05:53
esm-33-gearnet-pretrained-freezelm,0.7,0.9922,0.9712,0.875,0.768,0.9618,0.9091,0.0007,0.0588,0.0003,4,2023-12-08 11:06:13
esm-33-gearnet-pretrained-freezeall,0.6167,0.9922,0.9651,0.8605,0.7115,0.9508,0.8671,0.0296,0.0527,0.0003,0,2023-12-08 11:06:30
esm-33-gearnet-pretrained-freezeall,0.6333,0.9935,0.9675,0.8837,0.7325,0.9602,0.9182,0.033,0.0282,0.0003,1,2023-12-08 11:06:48
esm-33-gearnet-pretrained-freezeall,0.6833,0.9858,0.9639,0.7885,0.715,0.9638,0.9004,0.0374,0.049,0.0003,2,2023-12-08 11:07:06
esm-33-gearnet-pretrained-freezeall,0.5667,0.9767,0.9471,0.6538,0.5807,0.9173,0.4151,0.0167,0.4239,0.0003,3,2023-12-08 11:07:24
esm-33-gearnet-pretrained-freezeall,0.65,0.9819,0.9579,0.7358,0.6693,0.9575,0.8123,0.024,0.0671,0.0003,4,2023-12-08 11:07:42
esm-33-gearnet-resiboost,0.7667,0.9858,0.97,0.807,0.7705,0.9643,0.8943,,,,0,2023-12-08 11:10:57
esm-33-gearnet-resiboost,0.85,0.9741,0.9651,0.7183,0.763,0.9703,0.9523,,,,1,2023-12-08 11:14:12
esm-33-gearnet-resiboost,0.6333,0.9948,0.9688,0.9048,0.7422,0.9716,0.9184,,,,2,2023-12-08 11:17:27
esm-33-gearnet-resiboost,0.75,0.987,0.97,0.8182,0.7673,0.9421,0.6968,,,,3,2023-12-08 11:20:48
esm-33-gearnet-resiboost,0.75,0.9896,0.9724,0.8491,0.7834,0.9662,0.9374,,,,4,2023-12-08 11:24:09
esm-33-gearnet-pretrained-resiboost,0.7333,0.9909,0.9724,0.8627,0.781,0.965,0.9036,,,,0,2023-12-08 11:27:38
esm-33-gearnet-pretrained-resiboost,0.9,0.9637,0.9591,0.6585,0.7496,0.9646,0.9523,,,,1,2023-12-08 11:31:08
esm-33-gearnet-pretrained-resiboost,0.7,0.9922,0.9712,0.875,0.768,0.9789,0.9038,,,,2,2023-12-08 11:34:36
esm-33-gearnet-pretrained-resiboost,0.6833,0.9948,0.9724,0.9111,0.7756,0.925,0.7247,,,,3,2023-12-08 11:38:08
esm-33-gearnet-pretrained-resiboost,0.7,0.9909,0.97,0.8571,0.7592,0.9594,0.904,,,,4,2023-12-08 11:41:40
esm-33-gearnet-pretrained-freezelm-resiboost,0.7,0.9922,0.9712,0.875,0.768,0.9527,0.9182,,,,0,2023-12-08 11:44:59
esm-33-gearnet-pretrained-freezelm-resiboost,0.8667,0.9573,0.9507,0.6118,0.7037,0.965,0.9523,,,,1,2023-12-08 11:48:17
esm-33-gearnet-pretrained-freezelm-resiboost,0.65,0.9961,0.9712,0.9286,0.7634,0.9677,0.9496,,,,2,2023-12-08 11:51:36
esm-33-gearnet-pretrained-freezelm-resiboost,0.75,0.9858,0.9688,0.8036,0.7596,0.9441,0.7558,,,,3,2023-12-08 11:54:56
esm-33-gearnet-pretrained-freezelm-resiboost,0.75,0.9935,0.976,0.9,0.8093,0.9621,0.9091,,,,4,2023-12-08 11:58:15
esm-33-gearnet-pretrained-freezelm-test,0.8667,0.9741,0.9663,0.7222,0.7735,0.9761,0.8692,,,,0,2023-12-08 12:01:32
esm-33-gearnet-pretrained-freezelm-test,0.85,0.9767,0.9675,0.7391,0.7754,0.9736,0.9376,,,,1,2023-12-08 12:04:50
