model_key,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,valid_mcc,train_bce,valid_bce,lr,fold,finished_at
esm-t33,0.7182,0.9776,0.9596,0.7054,0.69,0.952,0.8436,0.0414,0.0843,0.0003,0,2023-12-11 13:43:16
esm-t33,0.7,0.9837,0.964,0.7624,0.7114,0.9048,0.5668,0.0097,0.3798,0.0003,1,2023-12-11 13:43:41
esm-t33,0.7273,0.9763,0.959,0.6957,0.6892,0.9586,0.9,0.0312,0.0629,0.0003,2,2023-12-11 13:44:05
esm-t33,0.7364,0.9769,0.9603,0.7043,0.6988,0.9605,0.9102,0.0559,0.0539,0.0003,3,2023-12-11 13:44:29
esm-t33,0.6455,0.9871,0.9634,0.7889,0.6946,0.9451,0.8294,0.0289,0.1147,0.0003,4,2023-12-11 13:44:54
esm-33-gearnet,0.6818,0.981,0.9603,0.7282,0.6834,0.9131,0.8634,0.0091,0.1032,0.0003,0,2023-12-11 13:45:30
esm-33-gearnet,0.7091,0.9824,0.9634,0.75,0.7097,0.8736,0.577,0.0042,0.5749,0.0003,1,2023-12-11 13:46:06
esm-33-gearnet,0.7636,0.9797,0.9647,0.7368,0.7311,0.9016,0.9174,0.009,0.0609,0.0003,2,2023-12-11 13:46:43
esm-33-gearnet,0.7818,0.9864,0.9722,0.8113,0.7816,0.9114,0.8415,0.0102,0.0924,0.0003,3,2023-12-11 13:47:19
esm-33-gearnet,0.7273,0.9756,0.9584,0.6897,0.6858,0.8866,0.8116,0.0051,0.2524,0.0003,4,2023-12-11 13:47:57
esm-t33-pretrained,0.7455,0.9519,0.9375,0.5359,0.6001,0.9446,0.8605,0.0601,0.0694,0.0003,0,2023-12-11 13:48:23
esm-t33-pretrained,0.6636,0.9864,0.964,0.7849,0.703,0.8934,0.5865,0.0351,0.1904,0.0003,1,2023-12-11 13:48:49
esm-t33-pretrained,0.7091,0.9749,0.9565,0.6783,0.6701,0.9552,0.908,0.0577,0.0605,0.0003,2,2023-12-11 13:49:14
esm-t33-pretrained,0.7,0.979,0.9596,0.713,0.6848,0.9498,0.8614,0.0296,0.1001,0.0003,3,2023-12-11 13:49:40
esm-t33-pretrained,0.7182,0.9722,0.9546,0.6583,0.6632,0.8218,0.8201,0.1217,0.2119,0.0003,4,2023-12-11 13:50:06
esm-t33-pretrained-freezelm,0.7091,0.9763,0.9577,0.6903,0.6769,0.8647,0.8693,0.075,0.0622,0.0003,0,2023-12-11 13:50:29
esm-t33-pretrained-freezelm,0.6909,0.9824,0.9621,0.7451,0.6973,0.812,0.5606,0.0397,0.2672,0.0003,1,2023-12-11 13:50:52
esm-t33-pretrained-freezelm,0.6364,0.9797,0.9558,0.7,0.6439,0.8734,0.8841,0.0764,0.05,0.0003,2,2023-12-11 13:51:16
esm-t33-pretrained-freezelm,0.6909,0.9783,0.9584,0.7037,0.6749,0.8686,0.9198,0.0736,0.041,0.0003,3,2023-12-11 13:51:39
esm-t33-pretrained-freezelm,0.6909,0.9783,0.9584,0.7037,0.6749,0.8647,0.824,0.0656,0.1051,0.0003,4,2023-12-11 13:52:03
esm-33-gearnet-pretrained,0.7182,0.9749,0.9571,0.681,0.6763,0.9135,0.8448,0.0106,0.0941,0.0003,0,2023-12-11 13:52:40
esm-33-gearnet-pretrained,0.7091,0.9851,0.9659,0.78,0.7256,0.82,0.5876,0.0055,0.5334,0.0003,1,2023-12-11 13:53:18
esm-33-gearnet-pretrained,0.7909,0.9763,0.9634,0.7131,0.7315,0.9364,0.8702,0.0051,0.0836,0.0003,2,2023-12-11 13:53:55
esm-33-gearnet-pretrained,0.7636,0.9756,0.9609,0.7,0.7102,0.9129,0.8714,0.0073,0.0711,0.0003,3,2023-12-11 13:54:33
esm-33-gearnet-pretrained,0.7455,0.9831,0.9666,0.7664,0.7379,0.9046,0.8014,0.0047,0.2347,0.0003,4,2023-12-11 13:55:10
esm-33-gearnet-pretrained-freezelm,0.7455,0.9742,0.9584,0.6833,0.6914,0.8842,0.8817,0.0171,0.0774,0.0003,0,2023-12-11 13:55:45
esm-33-gearnet-pretrained-freezelm,0.7,0.9844,0.9647,0.77,0.7154,0.8835,0.5754,0.0038,0.4351,0.0003,1,2023-12-11 13:56:21
esm-33-gearnet-pretrained-freezelm,0.7364,0.9831,0.9659,0.7642,0.7319,0.8884,0.8745,0.0137,0.0911,0.0003,2,2023-12-11 13:56:57
esm-33-gearnet-pretrained-freezelm,0.7273,0.9803,0.9628,0.7339,0.7106,0.8981,0.9046,0.0139,0.067,0.0003,3,2023-12-11 13:57:33
esm-33-gearnet-pretrained-freezelm,0.6636,0.9885,0.9659,0.8111,0.7161,0.8852,0.7703,0.0124,0.208,0.0003,4,2023-12-11 13:58:08
esm-33-gearnet-pretrained-freezeall,0.5364,0.9736,0.9432,0.602,0.5381,0.8661,0.7847,0.0802,0.1092,0.0003,0,2023-12-11 13:58:40
esm-33-gearnet-pretrained-freezeall,0.6818,0.9736,0.9533,0.6579,0.6447,0.7977,0.589,0.0465,0.4264,0.0003,1,2023-12-11 13:59:12
esm-33-gearnet-pretrained-freezeall,0.5727,0.981,0.9527,0.6923,0.6049,0.8947,0.7636,0.0632,0.099,0.0003,2,2023-12-11 13:59:44
esm-33-gearnet-pretrained-freezeall,0.5545,0.9871,0.9571,0.7625,0.6288,0.8788,0.8301,0.066,0.0831,0.0003,3,2023-12-11 14:00:16
esm-33-gearnet-pretrained-freezeall,0.5545,0.9892,0.959,0.7922,0.6427,0.8929,0.7467,0.07,0.1049,0.0003,4,2023-12-11 14:00:48
esm-33-gearnet-ensemble,0.7,0.9844,0.9647,0.77,0.7154,0.9219,0.8883,,,,0,2023-12-11 14:07:17
esm-33-gearnet-ensemble,0.7091,0.9878,0.9685,0.8125,0.7425,0.885,0.6045,,,,1,2023-12-11 14:13:49
esm-33-gearnet-ensemble,0.7091,0.9817,0.9628,0.7429,0.7058,0.9103,0.9141,,,,2,2023-12-11 14:20:23
esm-33-gearnet-ensemble,0.7182,0.9824,0.964,0.7524,0.7158,0.8944,0.9148,,,,3,2023-12-11 14:26:58
esm-33-gearnet-ensemble,0.6909,0.9871,0.9666,0.8,0.7259,0.9113,0.8058,,,,4,2023-12-11 14:33:31
esm-33-gearnet-rboost50,0.7,0.9783,0.959,0.7064,0.6812,0.9153,0.8892,,,,0,2023-12-11 14:40:01
esm-33-gearnet-rboost50,0.7,0.9803,0.9609,0.7264,0.6921,0.9167,0.5876,,,,1,2023-12-11 14:46:31
esm-33-gearnet-rboost50,0.7182,0.9783,0.9603,0.7117,0.6936,0.9426,0.9302,,,,2,2023-12-11 14:52:59
esm-33-gearnet-rboost50,0.7091,0.9844,0.9653,0.7723,0.7215,0.9383,0.9402,,,,3,2023-12-11 14:59:29
esm-33-gearnet-rboost50,0.7,0.9824,0.9628,0.7476,0.7035,0.9338,0.824,,,,4,2023-12-11 15:05:56
esm-33-gearnet-pretrained-ensemble,0.7091,0.9763,0.9577,0.6903,0.6769,0.9035,0.8864,,,,0,2023-12-11 15:12:32
esm-33-gearnet-pretrained-ensemble,0.7,0.9831,0.9634,0.7549,0.7074,0.8287,0.5931,,,,1,2023-12-11 15:19:09
esm-33-gearnet-pretrained-ensemble,0.7818,0.9831,0.9691,0.7748,0.7617,0.926,0.9056,,,,2,2023-12-11 15:25:45
esm-33-gearnet-pretrained-ensemble,0.7455,0.9803,0.964,0.7387,0.7228,0.8993,0.9269,,,,3,2023-12-11 15:32:24
esm-33-gearnet-pretrained-ensemble,0.7091,0.9831,0.964,0.7573,0.7136,0.889,0.8155,,,,4,2023-12-11 15:39:06
esm-33-gearnet-pretrained-rboost50,0.6909,0.9824,0.9621,0.7451,0.6973,0.9279,0.8771,,,,0,2023-12-11 15:45:44
esm-33-gearnet-pretrained-rboost50,0.7,0.9803,0.9609,0.7264,0.6921,0.8354,0.5931,,,,1,2023-12-11 15:52:26
esm-33-gearnet-pretrained-rboost50,0.7364,0.9769,0.9603,0.7043,0.6988,0.9117,0.9291,,,,2,2023-12-11 15:59:06
esm-33-gearnet-pretrained-rboost50,0.7091,0.9817,0.9628,0.7429,0.7058,0.9336,0.9466,,,,3,2023-12-11 16:05:43
esm-33-gearnet-pretrained-rboost50,0.7,0.9797,0.9603,0.7196,0.6884,0.9299,0.8253,,,,4,2023-12-11 16:12:24
esm-33-gearnet-pretrained-rboost10,0.7182,0.9756,0.9577,0.687,0.6797,0.9101,0.8877,,,,0,2023-12-11 16:19:03
esm-33-gearnet-pretrained-rboost10,0.7091,0.9776,0.959,0.7027,0.6838,0.8267,0.5822,,,,1,2023-12-11 16:25:47
esm-33-gearnet-pretrained-rboost10,0.7818,0.9756,0.9621,0.7049,0.7221,0.9204,0.9291,,,,2,2023-12-11 16:32:30
esm-33-gearnet-pretrained-rboost10,0.7364,0.9756,0.959,0.6923,0.692,0.9086,0.9232,,,,3,2023-12-11 16:39:14
esm-33-gearnet-pretrained-rboost10,0.7,0.9742,0.9552,0.6696,0.6605,0.9144,0.8116,,,,4,2023-12-11 16:45:59
esm-33-gearnet-pretrained-freezelm-ensemble,0.7,0.981,0.9615,0.7333,0.6959,0.8886,0.8832,,,,0,2023-12-11 16:52:18
esm-33-gearnet-pretrained-freezelm-ensemble,0.7091,0.9837,0.9647,0.7647,0.7175,0.8756,0.5931,,,,1,2023-12-11 16:58:37
esm-33-gearnet-pretrained-freezelm-ensemble,0.7091,0.9851,0.9659,0.78,0.7256,0.8807,0.8637,,,,2,2023-12-11 17:04:57
esm-33-gearnet-pretrained-freezelm-ensemble,0.7273,0.9824,0.9647,0.7547,0.7219,0.901,0.9046,,,,3,2023-12-11 17:11:18
esm-33-gearnet-pretrained-freezelm-ensemble,0.6818,0.9878,0.9666,0.8065,0.7241,0.8823,0.7476,,,,4,2023-12-11 17:17:36
