model_key,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,valid_mcc,train_bce,valid_bce,lr,fold,finished_at
esm-t33,0.7091,0.9797,0.9609,0.7222,0.6946,0.9599,0.8709,0.0193,0.0654,0.0003,0,2023-11-17 17:05:41
esm-t33,0.6909,0.9837,0.9634,0.76,0.7052,0.8679,0.5865,0.0117,0.4355,0.0003,1,2023-11-17 17:06:01
esm-t33,0.7364,0.9742,0.9577,0.6807,0.6853,0.9394,0.9174,0.0219,0.0641,0.0003,2,2023-11-17 17:06:21
esm-t33,0.7636,0.9742,0.9596,0.6885,0.7035,0.9292,0.9006,0.0155,0.0472,0.0003,3,2023-11-17 17:06:40
esm-t33,0.7,0.9797,0.9603,0.7196,0.6884,0.9651,0.8396,0.0257,0.1461,0.0003,4,2023-11-17 17:06:58
esm-33-gearnet,0.7,0.9776,0.9584,0.7,0.6776,0.9124,0.8709,0.0137,0.0491,0.0003,0,2023-11-17 17:07:29
esm-33-gearnet,0.7,0.9844,0.9647,0.77,0.7154,0.8764,0.5577,0.0092,0.5152,0.0003,1,2023-11-17 17:07:59
esm-33-gearnet,0.7273,0.979,0.9615,0.7207,0.7033,0.9268,0.9077,0.0247,0.0411,0.0003,2,2023-11-17 17:08:30
esm-33-gearnet,0.7364,0.9831,0.9659,0.7642,0.7319,0.9098,0.9208,0.0165,0.042,0.0003,3,2023-11-17 17:09:00
esm-33-gearnet,0.7,0.9817,0.9621,0.7404,0.6997,0.9074,0.7927,0.019,0.1595,0.0003,4,2023-11-17 17:09:31
esm-t33-pretrained,0.7182,0.9824,0.964,0.7524,0.7158,0.9497,0.871,0.0225,0.0631,0.0003,0,2023-11-17 17:09:51
esm-t33-pretrained,0.7,0.979,0.9596,0.713,0.6848,0.8881,0.5822,0.0282,0.281,0.0003,1,2023-11-17 17:10:12
esm-t33-pretrained,0.7,0.9769,0.9577,0.6937,0.6741,0.9457,0.9351,0.0251,0.0423,0.0003,2,2023-11-17 17:10:32
esm-t33-pretrained,0.7091,0.9783,0.9596,0.7091,0.6874,0.9492,0.929,0.0283,0.0399,0.0003,3,2023-11-17 17:10:52
esm-t33-pretrained,0.7,0.9783,0.959,0.7064,0.6812,0.9474,0.8337,0.0324,0.1195,0.0003,4,2023-11-17 17:11:12
esm-t33-pretrained-freezelm,0.4455,0.9797,0.9426,0.6203,0.4964,0.7592,0.6439,0.1724,0.1595,0.0003,0,2023-11-17 17:11:31
esm-t33-pretrained-freezelm,0.5273,0.9824,0.9508,0.6905,0.5781,0.7755,0.4357,0.1223,0.1983,0.0003,1,2023-11-17 17:11:50
esm-t33-pretrained-freezelm,0.6091,0.958,0.9338,0.5194,0.527,0.7807,0.6488,0.1428,0.1357,0.0003,2,2023-11-17 17:12:09
esm-t33-pretrained-freezelm,0.6091,0.9634,0.9388,0.5537,0.5479,0.7805,0.6109,0.1403,0.1441,0.0003,3,2023-11-17 17:12:28
esm-t33-pretrained-freezelm,0.3818,0.9919,0.9495,0.7778,0.5235,0.778,0.6229,0.1418,0.1406,0.0003,4,2023-11-17 17:12:46
esm-33-gearnet-pretrained,0.7455,0.9783,0.9621,0.7193,0.7119,0.8795,0.8723,0.009,0.0593,0.0003,0,2023-11-17 17:13:17
esm-33-gearnet-pretrained,0.7,0.9858,0.9659,0.7857,0.7236,0.8554,0.5987,0.0053,0.3954,0.0003,1,2023-11-17 17:13:49
esm-33-gearnet-pretrained,0.7273,0.9756,0.9584,0.6897,0.6858,0.9377,0.9033,0.0144,0.0495,0.0003,2,2023-11-17 17:14:20
esm-33-gearnet-pretrained,0.7091,0.9837,0.9647,0.7647,0.7175,0.9227,0.9178,0.0146,0.0355,0.0003,3,2023-11-17 17:14:52
esm-33-gearnet-pretrained,0.7,0.9783,0.959,0.7064,0.6812,0.8977,0.786,0.0103,0.1656,0.0003,4,2023-11-17 17:15:23
esm-33-gearnet-pretrained-freezelm,0.6909,0.9824,0.9621,0.7451,0.6973,0.8978,0.8573,0.0217,0.0718,0.0003,0,2023-11-17 17:15:53
esm-33-gearnet-pretrained-freezelm,0.6909,0.9824,0.9621,0.7451,0.6973,0.8915,0.5943,0.0061,0.3775,0.0003,1,2023-11-17 17:16:23
esm-33-gearnet-pretrained-freezelm,0.7273,0.9824,0.9647,0.7547,0.7219,0.9207,0.8613,0.0248,0.0811,0.0003,2,2023-11-17 17:16:54
esm-33-gearnet-pretrained-freezelm,0.7091,0.9858,0.9666,0.7879,0.7297,0.9309,0.9232,0.026,0.0347,0.0003,3,2023-11-17 17:17:24
esm-33-gearnet-pretrained-freezelm,0.6909,0.9892,0.9685,0.8261,0.7391,0.9125,0.8128,0.0278,0.1339,0.0003,4,2023-11-17 17:17:55
esm-33-gearnet-pretrained-freezeall,0.6182,0.9878,0.9621,0.7907,0.6798,0.8862,0.7832,0.1003,0.0818,0.0003,0,2023-11-17 17:18:23
esm-33-gearnet-pretrained-freezeall,0.6182,0.9844,0.959,0.7473,0.6583,0.8398,0.5362,0.0629,0.2626,0.0003,1,2023-11-17 17:18:50
esm-33-gearnet-pretrained-freezeall,0.6,0.9749,0.9489,0.6408,0.5927,0.8738,0.747,0.0935,0.0959,0.0003,2,2023-11-17 17:19:18
esm-33-gearnet-pretrained-freezeall,0.6727,0.979,0.9577,0.7048,0.6659,0.8801,0.8523,0.1001,0.0753,0.0003,3,2023-11-17 17:19:46
esm-33-gearnet-pretrained-freezeall,0.6364,0.9858,0.9615,0.7692,0.6796,0.8721,0.7101,0.0974,0.1158,0.0003,4,2023-11-17 17:20:14
esm-t33,0.7,0.9824,0.9628,0.7476,0.7035,0.9364,0.8616,0.0195,0.0492,0.0003,0,2023-11-22 18:37:53
esm-t33,0.6909,0.9844,0.964,0.7677,0.7092,0.8846,0.5809,0.0082,0.4402,0.0003,1,2023-11-22 18:38:12
esm-t33,0.7091,0.9776,0.959,0.7027,0.6838,0.9516,0.9244,0.0431,0.0378,0.0003,2,2023-11-22 18:38:30
esm-t33,0.7091,0.9776,0.959,0.7027,0.6838,0.938,0.9219,0.0353,0.0338,0.0003,3,2023-11-22 18:38:49
esm-t33,0.7545,0.9763,0.9609,0.7034,0.7075,0.9526,0.8285,0.0174,0.1445,0.0003,4,2023-11-22 18:39:07
esm-33-gearnet,0.7,0.9783,0.959,0.7064,0.6812,0.8969,0.8671,0.0125,0.0585,0.0003,0,2023-11-22 18:39:38
esm-33-gearnet,0.7091,0.9858,0.9666,0.7879,0.7297,0.8979,0.5617,0.0174,0.4153,0.0003,1,2023-11-22 18:40:08
esm-33-gearnet,0.7273,0.9864,0.9685,0.8,0.746,0.8956,0.8856,0.0173,0.054,0.0003,2,2023-11-22 18:40:38
esm-33-gearnet,0.7,0.9851,0.9653,0.7778,0.7195,0.9091,0.9183,0.0187,0.0705,0.0003,3,2023-11-22 18:41:08
esm-33-gearnet,0.6818,0.9851,0.964,0.7732,0.7071,0.8681,0.736,0.0172,0.3574,0.0003,4,2023-11-22 18:41:40
esm-t33-pretrained,0.7182,0.9824,0.964,0.7524,0.7158,0.9497,0.871,0.0225,0.0631,0.0003,0,2023-11-22 18:42:02
esm-t33-pretrained,0.7,0.979,0.9596,0.713,0.6848,0.8881,0.5822,0.0282,0.281,0.0003,1,2023-11-22 18:42:23
esm-t33-pretrained,0.7,0.9769,0.9577,0.6937,0.6741,0.9457,0.9351,0.0251,0.0423,0.0003,2,2023-11-22 18:42:44
esm-t33-pretrained,0.7091,0.9783,0.9596,0.7091,0.6874,0.9492,0.929,0.0283,0.0399,0.0003,3,2023-11-22 18:43:04
esm-t33-pretrained,0.7,0.9783,0.959,0.7064,0.6812,0.9474,0.8337,0.0324,0.1195,0.0003,4,2023-11-22 18:43:24
esm-t33-pretrained-freezelm,0.4455,0.9797,0.9426,0.6203,0.4964,0.7592,0.6439,0.1724,0.1595,0.0003,0,2023-11-22 18:43:44
esm-t33-pretrained-freezelm,0.5273,0.9824,0.9508,0.6905,0.5781,0.7755,0.4357,0.1223,0.1983,0.0003,1,2023-11-22 18:44:03
esm-t33-pretrained-freezelm,0.6091,0.958,0.9338,0.5194,0.527,0.7807,0.6488,0.1428,0.1357,0.0003,2,2023-11-22 18:44:22
esm-t33-pretrained-freezelm,0.6091,0.9634,0.9388,0.5537,0.5479,0.7805,0.6109,0.1403,0.1441,0.0003,3,2023-11-22 18:44:42
esm-t33-pretrained-freezelm,0.3818,0.9919,0.9495,0.7778,0.5235,0.778,0.6229,0.1418,0.1406,0.0003,4,2023-11-22 18:45:02
esm-33-gearnet-pretrained,0.7364,0.979,0.9621,0.7232,0.7094,0.8827,0.8709,0.0092,0.0586,0.0003,0,2023-11-22 18:45:37
esm-33-gearnet-pretrained,0.6909,0.9858,0.9653,0.7835,0.7174,0.8478,0.5987,0.005,0.4003,0.0003,1,2023-11-22 18:46:13
esm-33-gearnet-pretrained,0.7364,0.9742,0.9577,0.6807,0.6853,0.9378,0.9033,0.0128,0.0491,0.0003,2,2023-11-22 18:46:49
esm-33-gearnet-pretrained,0.7182,0.9837,0.9653,0.767,0.7237,0.9269,0.9106,0.0134,0.0383,0.0003,3,2023-11-22 18:47:26
esm-33-gearnet-pretrained,0.7,0.981,0.9615,0.7333,0.6959,0.9163,0.7878,0.0146,0.1609,0.0003,4,2023-11-22 18:48:01
esm-33-gearnet-pretrained-freezelm,0.6909,0.9817,0.9615,0.7379,0.6934,0.8991,0.8573,0.0217,0.0712,0.0003,0,2023-11-22 18:48:36
esm-33-gearnet-pretrained-freezelm,0.6909,0.9878,0.9672,0.8085,0.7302,0.8911,0.5931,0.006,0.3843,0.0003,1,2023-11-22 18:49:10
esm-33-gearnet-pretrained-freezelm,0.7364,0.979,0.9621,0.7232,0.7094,0.9193,0.8613,0.0245,0.0832,0.0003,2,2023-11-22 18:49:45
esm-33-gearnet-pretrained-freezelm,0.6909,0.9858,0.9653,0.7835,0.7174,0.9273,0.9148,0.0262,0.0354,0.0003,3,2023-11-22 18:50:19
esm-33-gearnet-pretrained-freezelm,0.6909,0.9892,0.9685,0.8261,0.7391,0.9119,0.7972,0.0281,0.1333,0.0003,4,2023-11-22 18:50:55
esm-33-gearnet-pretrained-freezeall,0.6182,0.9878,0.9621,0.7907,0.6798,0.8862,0.7832,0.1003,0.0818,0.0003,0,2023-11-22 18:51:26
esm-33-gearnet-pretrained-freezeall,0.6182,0.9844,0.959,0.7473,0.6583,0.8398,0.5362,0.0629,0.2626,0.0003,1,2023-11-22 18:51:57
esm-33-gearnet-pretrained-freezeall,0.6,0.9749,0.9489,0.6408,0.5927,0.8738,0.747,0.0935,0.0959,0.0003,2,2023-11-22 18:52:28
esm-33-gearnet-pretrained-freezeall,0.6727,0.979,0.9577,0.7048,0.6659,0.8801,0.8523,0.1001,0.0753,0.0003,3,2023-11-22 18:52:58
esm-33-gearnet-pretrained-freezeall,0.6364,0.9858,0.9615,0.7692,0.6796,0.8721,0.7101,0.0974,0.1158,0.0003,4,2023-11-22 18:53:31
esm-33-gearnet-ensemble,0.7091,0.9803,0.9615,0.729,0.6983,0.9155,0.8601,,,,0,2023-11-27 23:39:48
esm-33-gearnet-ensemble,0.7,0.9851,0.9653,0.7778,0.7195,0.8925,0.5577,,,,1,2023-11-27 23:46:05
esm-33-gearnet-ensemble,0.7273,0.9817,0.964,0.7477,0.7181,0.9209,0.9104,,,,2,2023-11-27 23:52:27
esm-33-gearnet-ensemble,0.7364,0.9797,0.9628,0.7297,0.713,0.9291,0.9088,,,,3,2023-11-27 23:58:57
esm-33-gearnet-ensemble,0.7182,0.9769,0.959,0.6991,0.6865,0.8953,0.8201,,,,4,2023-11-28 00:05:20
esm-33-gearnet-pretrained-ensemble,0.7455,0.979,0.9628,0.7257,0.7155,0.8773,0.8709,,,,0,2023-11-28 00:11:51
esm-33-gearnet-pretrained-ensemble,0.7,0.9851,0.9653,0.7778,0.7195,0.8471,0.5876,,,,1,2023-11-28 00:18:31
esm-33-gearnet-pretrained-ensemble,0.7455,0.9695,0.9539,0.6457,0.6692,0.937,0.9006,,,,2,2023-11-28 00:25:13
esm-33-gearnet-pretrained-ensemble,0.7091,0.9858,0.9666,0.7879,0.7297,0.921,0.9106,,,,3,2023-11-28 00:31:50
esm-33-gearnet-pretrained-ensemble,0.6909,0.9837,0.9634,0.76,0.7052,0.909,0.8014,,,,4,2023-11-28 00:38:27
esm-33-gearnet-pretrained-freezelm-ensemble,0.6909,0.9824,0.9621,0.7451,0.6973,0.9012,0.8621,,,,0,2023-11-28 00:44:32
esm-33-gearnet-pretrained-freezelm-ensemble,0.6909,0.9844,0.964,0.7677,0.7092,0.8918,0.5876,,,,1,2023-11-28 00:50:48
esm-33-gearnet-pretrained-freezelm-ensemble,0.7,0.9858,0.9659,0.7857,0.7236,0.9216,0.8574,,,,2,2023-11-28 00:57:12
esm-33-gearnet-pretrained-freezelm-ensemble,0.7182,0.9824,0.964,0.7524,0.7158,0.9309,0.9117,,,,3,2023-11-28 01:03:27
esm-33-gearnet-pretrained-freezelm-ensemble,0.6909,0.9892,0.9685,0.8261,0.7391,0.9135,0.8049,,,,4,2023-11-28 01:09:45
esm-33-gearnet-ensemble,0.7,0.9817,0.9621,0.7404,0.6997,0.9146,0.8732,,,,0,2023-11-28 16:32:37
esm-33-gearnet-ensemble,0.7,0.9844,0.9647,0.77,0.7154,0.898,0.5754,,,,1,2023-11-28 16:38:54
esm-33-gearnet-ensemble,0.7273,0.9817,0.964,0.7477,0.7181,0.9274,0.9174,,,,2,2023-11-28 16:45:20
esm-33-gearnet-ensemble,0.7182,0.979,0.9609,0.7182,0.6972,0.9254,0.9174,,,,3,2023-11-28 16:51:55
esm-33-gearnet-ensemble,0.7273,0.9749,0.9577,0.6838,0.6825,0.9201,0.8201,,,,4,2023-11-28 16:58:28
esm-33-gearnet-pretrained-ensemble,0.7455,0.979,0.9628,0.7257,0.7155,0.8767,0.8723,,,,0,2023-11-28 17:05:00
esm-33-gearnet-pretrained-ensemble,0.7,0.9878,0.9678,0.8105,0.7364,0.8482,0.5923,,,,1,2023-11-28 17:11:37
esm-33-gearnet-pretrained-ensemble,0.7455,0.9695,0.9539,0.6457,0.6692,0.9368,0.9006,,,,2,2023-11-28 17:18:13
esm-33-gearnet-pretrained-ensemble,0.7182,0.981,0.9628,0.7383,0.7082,0.9218,0.9118,,,,3,2023-11-28 17:24:53
esm-33-gearnet-pretrained-ensemble,0.6909,0.9837,0.9634,0.76,0.7052,0.9114,0.8014,,,,4,2023-11-28 17:31:24
esm-33-gearnet-pretrained-freezelm-ensemble,0.6909,0.9837,0.9634,0.76,0.7052,0.9027,0.8649,,,,0,2023-11-28 17:37:33
esm-33-gearnet-pretrained-freezelm-ensemble,0.7,0.9824,0.9628,0.7476,0.7035,0.8916,0.5943,,,,1,2023-11-28 17:43:45
esm-33-gearnet-pretrained-freezelm-ensemble,0.6909,0.9858,0.9653,0.7835,0.7174,0.9235,0.8564,,,,2,2023-11-28 17:50:01
esm-33-gearnet-pretrained-freezelm-ensemble,0.7182,0.9824,0.964,0.7524,0.7158,0.93,0.9117,,,,3,2023-11-28 17:56:23
esm-33-gearnet-pretrained-freezelm-ensemble,0.6909,0.9892,0.9685,0.8261,0.7391,0.9124,0.8049,,,,4,2023-11-28 18:02:37
esm-33-gearnet-ensemble,0.7,0.9864,0.9666,0.7938,0.7278,0.9162,0.871,,,,0,2023-11-28 18:20:39
esm-33-gearnet-ensemble,0.7,0.9844,0.9647,0.77,0.7154,0.8915,0.5686,,,,1,2023-11-28 18:26:55
esm-33-gearnet-ensemble,0.7091,0.9844,0.9653,0.7723,0.7215,0.9271,0.9063,,,,2,2023-11-28 18:33:27
esm-33-gearnet-ensemble,0.7182,0.9783,0.9603,0.7117,0.6936,0.9203,0.916,,,,3,2023-11-28 18:39:48
esm-33-gearnet-ensemble,0.7,0.9851,0.9653,0.7778,0.7195,0.9214,0.8084,,,,4,2023-11-28 18:46:21
esm-33-gearnet-ensemble,0.7,0.9803,0.9609,0.7264,0.6921,0.9081,0.8587,,,,0,2023-11-28 18:52:46
esm-33-gearnet-ensemble,0.7,0.9803,0.9609,0.7264,0.6921,0.8938,0.577,,,,1,2023-11-28 18:59:17
esm-33-gearnet-ensemble,0.7182,0.9824,0.964,0.7524,0.7158,0.936,0.9117,,,,2,2023-11-28 19:05:41
esm-33-gearnet-ensemble,0.7182,0.9817,0.9634,0.7453,0.712,0.9217,0.9219,,,,3,2023-11-28 19:12:15
esm-33-gearnet-ensemble,0.7182,0.9749,0.9571,0.681,0.6763,0.9051,0.8135,,,,4,2023-11-28 19:18:45
esm-33-gearnet-pretrained-ensemble,0.7455,0.979,0.9628,0.7257,0.7155,0.8778,0.8693,,,,0,2023-11-28 19:25:12
esm-33-gearnet-pretrained-ensemble,0.7,0.9864,0.9666,0.7938,0.7278,0.8448,0.5931,,,,1,2023-11-28 19:31:39
esm-33-gearnet-pretrained-ensemble,0.7455,0.9688,0.9533,0.6406,0.6662,0.9379,0.9006,,,,2,2023-11-28 19:38:07
esm-33-gearnet-pretrained-ensemble,0.7182,0.981,0.9628,0.7383,0.7082,0.9239,0.9127,,,,3,2023-11-28 19:44:36
esm-33-gearnet-pretrained-ensemble,0.6909,0.9817,0.9615,0.7379,0.6934,0.9069,0.8014,,,,4,2023-11-28 19:51:08
esm-33-gearnet-pretrained-ensemble,0.7455,0.979,0.9628,0.7257,0.7155,0.878,0.8662,,,,0,2023-11-28 19:57:35
esm-33-gearnet-pretrained-ensemble,0.7,0.9864,0.9666,0.7938,0.7278,0.8454,0.5931,,,,1,2023-11-28 20:04:10
esm-33-gearnet-pretrained-ensemble,0.7455,0.9681,0.9527,0.6357,0.6632,0.937,0.9006,,,,2,2023-11-28 20:10:40
esm-33-gearnet-pretrained-ensemble,0.7182,0.9776,0.9596,0.7054,0.69,0.921,0.9076,,,,3,2023-11-28 20:17:10
esm-33-gearnet-pretrained-ensemble,0.6909,0.9837,0.9634,0.76,0.7052,0.9081,0.8014,,,,4,2023-11-28 20:23:36
esm-33-gearnet-pretrained-freezelm-ensemble,0.6909,0.9837,0.9634,0.76,0.7052,0.9017,0.8649,,,,0,2023-11-28 20:29:44
esm-33-gearnet-pretrained-freezelm-ensemble,0.7,0.9824,0.9628,0.7476,0.7035,0.8913,0.5943,,,,1,2023-11-28 20:35:49
esm-33-gearnet-pretrained-freezelm-ensemble,0.7364,0.9817,0.9647,0.75,0.7242,0.924,0.8555,,,,2,2023-11-28 20:42:01
esm-33-gearnet-pretrained-freezelm-ensemble,0.6909,0.9878,0.9672,0.8085,0.7302,0.9294,0.9118,,,,3,2023-11-28 20:48:14
esm-33-gearnet-pretrained-freezelm-ensemble,0.6909,0.9892,0.9685,0.8261,0.7391,0.9129,0.8049,,,,4,2023-11-28 20:54:28
esm-33-gearnet-pretrained-freezelm-ensemble,0.6909,0.9824,0.9621,0.7451,0.6973,0.9007,0.8621,,,,0,2023-11-28 21:00:38
esm-33-gearnet-pretrained-freezelm-ensemble,0.7,0.9824,0.9628,0.7476,0.7035,0.8916,0.589,,,,1,2023-11-28 21:06:46
esm-33-gearnet-pretrained-freezelm-ensemble,0.7,0.9858,0.9659,0.7857,0.7236,0.9201,0.8574,,,,2,2023-11-28 21:12:57
esm-33-gearnet-pretrained-freezelm-ensemble,0.7182,0.9824,0.964,0.7524,0.7158,0.9296,0.9117,,,,3,2023-11-28 21:19:12
esm-33-gearnet-pretrained-freezelm-ensemble,0.6909,0.9892,0.9685,0.8261,0.7391,0.9125,0.8049,,,,4,2023-11-28 21:25:25
esm-33-gearnet-pretrained-freezelm,0.6909,0.9824,0.9621,0.7451,0.6973,0.8974,0.8683,0.0215,0.0712,0.0003,0,2023-12-01 01:26:24
esm-33-gearnet-pretrained-freezelm,0.7,0.9824,0.9628,0.7476,0.7035,0.8923,0.5943,0.0061,0.3851,0.0003,1,2023-12-01 01:26:54
esm-33-gearnet-pretrained-freezelm,0.7,0.9858,0.9659,0.7857,0.7236,0.9175,0.8574,0.0246,0.0803,0.0003,2,2023-12-01 01:27:24
esm-33-gearnet-pretrained-freezelm,0.7091,0.9851,0.9659,0.78,0.7256,0.9292,0.9174,0.0258,0.0359,0.0003,3,2023-12-01 01:27:55
