knn_k,spatial_radius,sequential_max_distance,lr,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc
10,10.0,2,0.0005,0.5056,0.9855,0.9606,0.655,0.5554,0.9161,0.0037,0.2402,0.6018
10,10.0,2,0.0005,0.4721,0.9903,0.9635,0.7273,0.5685,0.9119,0.008,0.2047,0.6139
10,10.0,3,0.0005,0.4657,0.9907,0.9635,0.7318,0.5665,0.9163,0.0058,0.1877,0.6148
10,10.0,4,0.0005,0.4817,0.9909,0.9646,0.7438,0.5817,0.9298,0.0164,0.1535,0.593
10,10.0,5,0.0005,0.4338,0.9871,0.9585,0.6476,0.5097,0.9078,0.0306,0.131,0.5847
10,10.0,6,0.0005,0.4274,0.9889,0.9599,0.6785,0.5194,0.9146,0.0846,0.1033,0.5503
10,10.0,7,0.0005,0.4801,0.9882,0.9619,0.6904,0.557,0.9128,0.0331,0.1288,0.6158
10,10.0,8,0.0005,0.3955,0.9912,0.9604,0.7106,0.5122,0.9205,0.0376,0.1225,0.5822
10,20.0,2,0.0005,0.4003,0.9882,0.9577,0.6486,0.4894,0.9039,0.0614,0.1315,0.5404
10,20.0,3,0.0005,0.4928,0.9798,0.9546,0.5712,0.5069,0.8904,0.0628,0.1282,0.5521
10,20.0,4,0.0005,0.5072,0.9796,0.9551,0.5761,0.5171,0.9028,0.0155,0.1964,0.5873
10,20.0,5,0.0005,0.4848,0.9865,0.9605,0.6623,0.5469,0.8986,0.0064,0.2055,0.5807
10,20.0,6,0.0005,0.4848,0.9884,0.9623,0.6957,0.5623,0.9193,0.0131,0.2179,0.5626
10,20.0,7,0.0005,0.6124,0.9544,0.9367,0.4234,0.4772,0.9,0.0231,0.1727,0.5667
10,20.0,8,0.0005,0.4944,0.9836,0.9583,0.6225,0.5334,0.9143,0.0074,0.2015,0.5733
20,10.0,2,0.0005,0.4514,0.9911,0.9632,0.7351,0.5588,0.9155,0.0182,0.1495,0.6118
20,10.0,3,0.0005,0.4482,0.9911,0.963,0.7337,0.5562,0.9287,0.0344,0.1288,0.5694
20,10.0,4,0.0005,0.488,0.9869,0.9611,0.6711,0.5529,0.8997,0.0241,0.1444,0.6006
20,10.0,5,0.0005,0.437,0.9919,0.9632,0.7466,0.5544,0.8976,0.0109,0.1797,0.6181
20,10.0,6,0.0005,0.445,0.9878,0.9597,0.6659,0.5247,0.9215,0.0536,0.1145,0.5801
20,10.0,7,0.0005,0.4705,0.9877,0.9609,0.6766,0.545,0.919,0.0082,0.1593,0.6117
20,10.0,8,0.0005,0.4944,0.9814,0.9562,0.5927,0.5187,0.9081,0.0048,0.1917,0.6025
20,20.0,2,0.0005,0.4769,0.9705,0.9449,0.4687,0.4437,0.8888,0.0279,0.1583,0.5703
20,20.0,3,0.0005,0.4641,0.9836,0.9567,0.6075,0.509,0.9012,0.0062,0.2245,0.5901
20,20.0,4,0.0005,0.5167,0.9841,0.9599,0.6391,0.554,0.9204,0.0122,0.1987,0.571
20,20.0,5,0.0005,0.504,0.9821,0.9573,0.6054,0.5303,0.9173,0.0249,0.1532,0.589
20,20.0,6,0.0005,0.5949,0.9643,0.9452,0.4764,0.5038,0.9111,0.0768,0.1107,0.5729
20,20.0,7,0.0005,0.5024,0.9862,0.9612,0.666,0.5588,0.8937,0.0067,0.2142,0.5944
20,20.0,8,0.0005,0.4833,0.9756,0.9501,0.5197,0.475,0.9006,0.0143,0.1639,0.5902
10,10.0,2,0.0005,0.4147,0.9921,0.9622,0.7407,0.5372,0.9087,0.029,0.1403,0.6066
10,10.0,3,0.0005,0.453,0.9834,0.956,0.5992,0.4986,0.9036,0.0231,0.1518,0.5955
10,10.0,4,0.0005,0.3876,0.989,0.9579,0.6585,0.4855,0.9071,0.0402,0.1231,0.5685
10,10.0,5,0.0005,0.4864,0.9862,0.9604,0.6587,0.5462,0.9222,0.063,0.1101,0.5895
10,10.0,6,0.0005,0.5279,0.982,0.9585,0.6152,0.5483,0.9099,0.0045,0.1959,0.6077
10,10.0,7,0.0005,0.5008,0.9858,0.9607,0.6583,0.5543,0.9292,0.0391,0.1182,0.6005
10,10.0,8,0.0005,0.5008,0.9848,0.9597,0.6421,0.5465,0.9104,0.0366,0.1364,0.5805
10,20.0,2,0.0005,0.3636,0.9923,0.9598,0.7215,0.4948,0.9014,0.038,0.1459,0.5476
10,20.0,3,0.0005,0.4976,0.9868,0.9614,0.6724,0.5591,0.9181,0.0174,0.1649,0.5718
10,20.0,4,0.0005,0.5423,0.9669,0.9449,0.4722,0.4771,0.8897,0.0175,0.1869,0.5507
10,20.0,5,0.0005,0.5263,0.9791,0.9556,0.5789,0.5288,0.8968,0.0232,0.1541,0.565
10,20.0,6,0.0005,0.5152,0.9801,0.956,0.5851,0.5261,0.9095,0.075,0.1017,0.5681
10,20.0,7,0.0005,0.5008,0.9848,0.9597,0.6421,0.5465,0.8811,0.0104,0.2198,0.5679
