bce_weight,lr,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc
0.25,0.0005,0.4003,0.994,0.9632,0.7844,0.5447,0.9077,0.0172,0.0422,0.6038
0.25,0.0005,0.4705,0.9917,0.9647,0.7564,0.5801,0.9122,0.0016,0.0744,0.6038
0.25,0.0005,0.4434,0.9926,0.9642,0.7658,0.5665,0.8844,0.0011,0.0835,0.6036
0.25,0.0005,0.5167,0.989,0.9646,0.72,0.5925,0.904,0.0028,0.0765,0.6103
0.25,0.0005,0.4083,0.9963,0.9659,0.8591,0.5787,0.903,0.0002,0.0798,0.6267
4.0,0.0005,0.5008,0.9908,0.9654,0.7476,0.5953,0.9085,0.0013,0.6958,0.6371
2.0,0.0005,0.4833,0.9915,0.9652,0.7575,0.5887,0.8973,0.0038,0.3415,0.6047
1.0,0.0005,0.5167,0.9851,0.9608,0.6545,0.5616,0.9262,0.0039,0.2173,0.6078
0.5,0.0005,0.4817,0.9906,0.9642,0.7366,0.5786,0.9099,0.0265,0.0706,0.6121
4.0,0.0005,0.4705,0.9887,0.9618,0.6941,0.5529,0.9221,0.0327,0.4024,0.6196
2.0,0.0005,0.5152,0.9905,0.9659,0.7477,0.6041,0.8977,0.0005,0.3632,0.628
1.0,0.0005,0.4928,0.9886,0.9629,0.7023,0.5701,0.9166,0.0396,0.1231,0.6104
0.5,0.0005,0.4306,0.9915,0.9625,0.7357,0.5457,0.9053,0.0238,0.0748,0.6144
4.0,0.0005,0.4992,0.9914,0.9659,0.7597,0.5996,0.915,0.005,0.6079,0.6153
2.0,0.0005,0.4769,0.9908,0.9642,0.7383,0.5763,0.9247,0.02,0.2425,0.5967
1.0,0.0005,0.512,0.9895,0.9648,0.7279,0.5932,0.9197,0.0344,0.1221,0.6059
0.5,0.0005,0.5439,0.9866,0.9637,0.6889,0.5936,0.9206,0.0025,0.1166,0.608
4.0,0.0005,0.504,0.983,0.9582,0.6184,0.5367,0.9145,0.105,0.2947,0.5981
