model_key,valid_fold,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc,finished_at,lr,best_threshold
bert-gearnet-ensemble,0,0.4689,0.9902,0.9632,0.7224,0.5644,0.9027,,,,2023-10-16 14:27:11,,
bert-gearnet-ensemble,1,0.5805,0.9847,0.9637,0.6741,0.6067,0.9152,,,,2023-10-16 16:58:31,,
bert-gearnet-ensemble,2,0.5183,0.9879,0.9636,0.7004,0.5843,0.9136,,,,2023-10-16 18:40:37,,
bert-gearnet-ensemble,3,0.4944,0.9874,0.9618,0.6813,0.5614,0.9177,,,,2023-10-16 20:56:44,,
bert-gearnet-ensemble,4,0.5215,0.9863,0.9623,0.6756,0.5745,0.9139,,,,2023-10-16 23:17:32,,
esm-33-gearnet-ensemble-rus,0,0.748,0.9706,0.959,0.5812,0.6384,0.9409,,,,2023-10-17 22:03:46.700949,,
esm-33-gearnet-ensemble-rus,1,0.7576,0.9724,0.9613,0.5997,0.6542,0.9462,,,,2023-10-17 23:24:43.721941,,
esm-33-gearnet-ensemble-rus,2,0.7193,0.982,0.9684,0.6854,0.6855,0.9406,,,,2023-10-18 00:39:41.169059,,
esm-33-gearnet-ensemble-rus,3,0.7592,0.9697,0.9588,0.5777,0.6413,0.9475,,,,2023-10-18 02:08:18.186263,,
esm-33-gearnet-ensemble-rus,4,0.7496,0.9742,0.9626,0.6136,0.6589,0.9478,,,,2023-10-18 03:28:31.195334,,
gearnet,0,0.3142,0.992,0.9569,0.6817,0.4445,0.8468,0.0072,0.3377,0.4259,2023-10-25 12:49:53,,
gearnet,1,0.437,0.9802,0.9521,0.5469,0.4642,0.8726,0.008,0.3056,0.387,2023-10-25 12:53:46,,
gearnet,2,0.3684,0.9862,0.9542,0.5938,0.4457,0.8538,0.0057,0.2639,0.4537,2023-10-25 12:57:55,,
gearnet,3,0.4434,0.9828,0.9548,0.584,0.4859,0.8691,0.0008,0.3464,0.5066,2023-10-25 13:03:22,,
gearnet,4,0.3987,0.9794,0.9493,0.5133,0.4264,0.8583,0.1007,0.1573,0.3788,2023-10-25 13:05:42,,
bert,0,0.4322,0.9857,0.957,0.623,0.4976,0.8826,0.0249,0.2163,0.458,2023-10-25 13:09:44,,
bert,1,0.4035,0.9898,0.9594,0.6838,0.5064,0.8959,0.015,0.2323,0.4891,2023-10-25 13:14:36,,
bert,2,0.3955,0.9898,0.959,0.6795,0.4994,0.8891,0.0525,0.1683,0.4733,2023-10-25 13:17:48,,
bert,3,0.4753,0.9824,0.9561,0.596,0.5097,0.9104,0.0675,0.1329,0.5119,2023-10-25 13:20:36,,
bert,4,0.4514,0.9814,0.9539,0.5694,0.4833,0.882,0.0381,0.1842,0.4945,2023-10-25 13:24:18,,
bert-gearnet,0,0.5407,0.9679,0.9458,0.4795,0.4806,0.9048,0.0181,0.1835,0.5193,2023-10-25 13:33:23,,
bert-gearnet,1,0.5247,0.9844,0.9606,0.6476,0.5627,0.9127,0.0026,0.3251,0.5216,2023-10-25 13:45:28,,
bert-gearnet,2,0.5183,0.9801,0.9561,0.5866,0.5285,0.8791,0.005,0.226,0.5355,2023-10-25 13:56:57,,
bert-gearnet,3,0.4673,0.9816,0.955,0.5813,0.4981,0.9222,0.0676,0.1094,0.5536,2023-10-25 14:03:42,,
bert-gearnet,4,0.555,0.9745,0.9528,0.5429,0.524,0.9038,0.0151,0.1906,0.5465,2023-10-25 14:12:49,,
esm-t33-ensemble,0,0.6746,0.9858,0.9697,0.7218,0.6819,0.9497,,,,2023-10-25 16:40:19.729583,,
esm-t33-ensemble,1,0.6762,0.9862,0.9702,0.7285,0.6863,0.956,,,,2023-10-25 17:31:40.240046,,
esm-t33-ensemble,2,0.673,0.9861,0.9699,0.7263,0.6834,0.9486,,,,2023-10-25 18:13:35.493933,,
esm-t33-ensemble,3,0.6906,0.9845,0.9693,0.7087,0.6834,0.9526,,,,2023-10-25 18:51:06.951574,,
esm-t33-ensemble,4,0.6459,0.9888,0.971,0.7584,0.685,0.9535,,,,2023-10-25 19:40:29.863824,,
esm-33-gearnet-resiboost-n25,0,0.6906,0.9864,0.9711,0.7351,0.6973,0.9308,,,,2023-11-04 00:57:09,,
esm-33-gearnet-resiboost-n25,1,0.6029,0.9912,0.9711,0.7891,0.6753,0.9328,,,,2023-11-04 12:36:45,,
esm-33-gearnet-resiboost-n25,2,0.7081,0.9845,0.9702,0.7138,0.6953,0.925,,,,2023-11-04 21:50:07,,
esm-33-gearnet-resiboost-n25,3,0.6874,0.986,0.9705,0.728,0.6919,0.94,,,,2023-11-05 07:58:33,,
esm-33-gearnet-resiboost-n25,4,0.6396,0.9902,0.972,0.7802,0.6921,0.9287,,,,2023-11-05 19:31:51,,
esm-33-gearnet,0,0.6427,0.9871,0.9693,0.7314,0.6697,0.9153,0.001,0.1664,0.695,2023-11-07 09:44:29,0.0003,
esm-33-gearnet,1,0.6284,0.9905,0.9717,0.7833,0.6873,0.9366,0.0015,0.2216,0.6134,2023-11-07 09:55:33,0.0003,
esm-33-gearnet,2,0.6396,0.9909,0.9727,0.7925,0.6981,0.9205,0.001,0.2003,0.6174,2023-11-07 10:06:43,0.0003,
esm-33-gearnet,3,0.6124,0.9903,0.9708,0.7758,0.6745,0.9219,0.0007,0.1841,0.6894,2023-11-07 10:17:38,0.0003,
esm-33-gearnet,4,0.6236,0.9894,0.9704,0.7622,0.6743,0.9236,0.0008,0.1745,0.6598,2023-11-07 10:28:43,0.0003,
esm-t33,0,0.6268,0.988,0.9693,0.7401,0.6653,0.9156,0.0016,0.1866,0.6687,2023-11-07 10:35:09,0.0003,
esm-t33,1,0.6427,0.9888,0.9708,0.7575,0.6828,0.9369,0.0016,0.2242,0.6043,2023-11-07 10:41:27,0.0003,
esm-t33,2,0.5933,0.9901,0.9695,0.7654,0.6586,0.9114,0.0015,0.2316,0.5956,2023-11-07 10:47:33,0.0003,
esm-t33,3,0.614,0.9893,0.9698,0.7579,0.6668,0.933,0.0014,0.1983,0.6751,2023-11-07 10:53:41,0.0003,
esm-t33,4,0.5518,0.9909,0.9682,0.7689,0.6358,0.9224,0.0015,0.2056,0.6433,2023-11-07 10:59:52,0.0003,
esm-33-gearnet,0,0.5981,0.9898,0.9695,0.7622,0.6598,0.9137,0.0007,0.1914,0.6824,2023-11-07 14:18:28,0.0003,
esm-33-gearnet,1,0.614,0.9885,0.9691,0.7447,0.6604,0.9252,0.0009,0.2465,0.6082,2023-11-07 14:28:54,0.0003,
esm-33-gearnet,2,0.6619,0.9865,0.9697,0.7281,0.6783,0.9182,0.0008,0.2003,0.6276,2023-11-07 14:39:47,0.0003,
esm-33-gearnet,3,0.638,0.9888,0.9707,0.7576,0.6801,0.937,0.0007,0.178,0.6867,2023-11-07 14:50:55,0.0003,
esm-33-gearnet,4,0.6077,0.9908,0.9709,0.7823,0.6749,0.9287,0.0007,0.1846,0.6499,2023-11-07 15:01:57,0.0003,
esm-t33,0,0.6029,0.9889,0.9689,0.7485,0.656,0.9122,0.0015,0.2061,0.6536,2023-11-07 15:08:07,0.0003,
esm-t33,1,0.6348,0.9873,0.969,0.7316,0.6654,0.9337,0.0023,0.2673,0.6086,2023-11-07 15:14:09,0.0003,
esm-t33,2,0.6188,0.99,0.9708,0.7714,0.6761,0.9373,0.0015,0.2322,0.592,2023-11-07 15:20:29,0.0003,
esm-t33,3,0.6459,0.9864,0.9688,0.7219,0.6666,0.9384,0.001,0.1973,0.6771,2023-11-07 15:26:44,0.0003,
esm-t33,4,0.6332,0.9872,0.9689,0.7298,0.6636,0.9377,0.0011,0.1984,0.656,2023-11-07 15:33:00,0.0003,
esm-33-gearnet-ensemble,0,0.6635,0.9873,0.9705,0.7402,0.6854,0.9432,,,,2023-11-07 17:25:45,,
esm-33-gearnet-ensemble,1,0.6411,0.99,0.9719,0.7776,0.6917,0.9461,,,,2023-11-08 00:24:50,,
esm-33-gearnet-ensemble,2,0.7065,0.9855,0.9711,0.7274,0.7017,0.9497,,,,2023-11-08 07:02:08,,
esm-33-gearnet-ensemble,3,0.6986,0.9855,0.9707,0.7252,0.6963,0.9489,,,,2023-11-08 13:35:33,,
esm-33-gearnet-ensemble,4,0.6922,0.9855,0.9703,0.7233,0.692,0.9464,,,,2023-11-08 20:10:03,,
esm-33-gearnet-resiboost,0,0.6746,0.9867,0.9705,0.7344,0.6884,0.9243,,,,2023-11-08 20:20:21,,
esm-33-gearnet-resiboost,1,0.6411,0.9897,0.9717,0.7731,0.6895,0.9367,,,,2023-11-09 05:27:45,,
esm-33-gearnet-resiboost-v2-1109,0,0.6778,0.9867,0.9707,0.7353,0.6906,0.938,,,,2023-11-09 06:10:34,,
esm-33-gearnet-resiboost-v2-1109,1,0.6571,0.9889,0.9717,0.7644,0.6941,0.9372,,,,2023-11-09 10:07:41,,
esm-33-gearnet-resiboost-v2-1109,2,0.7257,0.9828,0.9694,0.6968,0.695,0.9348,,,,2023-11-09 14:05:41,,
esm-33-gearnet-resiboost,2,0.6954,0.9875,0.9724,0.753,0.7092,0.9302,,,,2023-11-09 14:34:21,,
esm-33-gearnet-resiboost-v2-1109,3,0.6619,0.9881,0.9712,0.7518,0.6904,0.9385,,,,2023-11-09 18:03:43,,
esm-33-gearnet-resiboost-v2-1109,4,0.6587,0.9888,0.9717,0.7634,0.6945,0.9343,,,,2023-11-09 22:01:38,,
esm-33-gearnet-resiboost,3,0.6635,0.9887,0.9718,0.7619,0.6964,0.9361,,,,2023-11-09 23:41:48,,
esm-33-gearnet-resiboost,4,0.6523,0.9894,0.9719,0.7702,0.6944,0.9266,,,,2023-11-10 08:48:47,,
esm-33-gearnet-resiboost-v2,4,0.6284,0.9911,0.9723,0.7944,0.6926,0.9223,,,0.6676,2023-11-16 04:54:09,,0.1999999999999999
esm-33-gearnet-resiboost-v1n,0,0.6778,0.9877,0.9717,0.7509,0.6986,0.9224,,,0.7056,2023-11-16 04:57:23,,0.1699999999999999
esm-33-gearnet-resiboost-v1n,1,0.6842,0.9872,0.9715,0.7448,0.6989,0.9346,,,0.6352,2023-11-16 09:03:12,,0.2099999999999999
esm-33-gearnet-resiboost-v1n,2,0.7161,0.9847,0.9708,0.7184,0.7018,0.9343,,,0.6362,2023-11-16 13:08:36,,0.11
esm-33-gearnet-resiboost-v1n,3,0.7129,0.9838,0.9698,0.7062,0.6936,0.9404,,,0.6976,2023-11-16 17:06:30,,0.12
esm-33-gearnet-resiboost-v2,0,0.6667,0.9888,0.9722,0.7656,0.7,0.9318,,,0.7037,2023-11-16 17:51:22,,0.1699999999999999
esm-33-gearnet-resiboost-v1n,4,0.6316,0.9904,0.9718,0.7826,0.6888,0.9283,,,0.6689,2023-11-16 21:06:21,,0.3199999999999999
esm-33-gearnet-resiboost-v2,1,0.6427,0.9897,0.9717,0.7735,0.6906,0.9392,,,0.6151,2023-11-16 23:29:33,,0.2299999999999999
esm-33-gearnet-resiboost-v2,2,0.6587,0.9905,0.9733,0.7912,0.7083,0.9307,,,0.6257,2023-11-17 05:05:19,,0.1599999999999999
esm-33-gearnet-resiboost-v2,3,0.689,0.9855,0.9701,0.7212,0.6892,0.9349,,,0.6971,2023-11-17 10:57:43,0.1,
esm-33-gearnet-resiboost-ri,0,0.6938,0.9849,0.9698,0.7155,0.6887,0.928,,,0.7137,2023-11-17 18:12:55,,0.13
esm-33-gearnet-resiboost-ri,1,0.7209,0.9842,0.9706,0.7141,0.702,0.9373,,,0.6349,2023-11-17 23:54:38,,0.13
esm-33-gearnet-resiboost-ri,2,0.7065,0.9857,0.9713,0.7298,0.703,0.9359,,,0.6374,2023-11-18 05:33:06,,0.12
esm-33-gearnet-resiboost-ri,3,0.6794,0.9878,0.9718,0.7527,0.7004,0.9391,,,0.7039,2023-11-18 11:06:47,,0.2199999999999999
esm-33-gearnet-resiboost-ri,4,0.6204,0.9907,0.9715,0.7843,0.6832,0.9316,,,0.6658,2023-11-18 16:43:34,,0.3399999999999998
esm-t33-resiboost,0,0.6555,0.9881,0.9708,0.75,0.686,0.9437,,,0.683,2023-12-15 12:44:37,,0.2499999999999999
esm-t33-resiboost,1,0.638,0.9895,0.9713,0.7678,0.6851,0.9535,,,0.6069,2023-12-15 13:49:44,,0.2899999999999999
esm-t33-resiboost,2,0.7209,0.9834,0.9698,0.704,0.6965,0.949,,,0.6118,2023-12-15 14:54:08,,0.13
esm-t33-resiboost,3,0.6794,0.9862,0.9703,0.7295,0.6884,0.9495,,,0.6933,2023-12-15 16:00:39,,0.19999999999999996
