Unnamed: 0,bert_freeze_layer,gearnet_freeze_layer,lr,patience,rus_seed,undersample_rate,early_stop_metric,optimizer,lr_half_epoch,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc,epoch_count
0.0,28,0,0.0001,10,0,0.05,valid_mcc,adam,0,0.5885,0.9786,0.9584,0.6,0.5723,0.9083,0.0037,0.1476,0.5543,22
1.0,28,0,0.0002,10,0,0.05,valid_mcc,adam,0,0.5423,0.9854,0.9624,0.6693,0.5832,0.9127,0.0035,0.1517,0.5872,25
2.0,28,0,0.0004,10,0,0.05,valid_mcc,adam,0,0.5885,0.9801,0.9598,0.6171,0.5815,0.9036,0.0013,0.2043,0.5811,33
3.0,28,0,0.0008,10,0,0.05,valid_mcc,adam,0,0.5853,0.9784,0.958,0.5967,0.5689,0.9122,0.003,0.1974,0.557,28
4.0,29,0,0.0001,10,0,0.05,valid_mcc,adam,0,0.5582,0.9775,0.9558,0.5757,0.5436,0.9121,0.0028,0.1555,0.5452,25
5.0,29,0,0.0002,10,0,0.05,valid_mcc,adam,0,0.5327,0.9851,0.9617,0.6614,0.5739,0.9139,0.0008,0.1851,0.5805,40
6.0,29,0,0.0004,10,0,0.05,valid_mcc,adam,0,0.5614,0.9834,0.9616,0.6494,0.5839,0.9222,0.0033,0.1679,0.5704,24
7.0,29,0,0.0008,10,0,0.05,valid_mcc,adam,0,0.4577,0.9906,0.963,0.7266,0.5592,0.9195,0.0014,0.269,0.5779,56
8.0,28,0,0.0001,10,1,0.05,valid_mcc,adam,0,0.5423,0.9767,0.9542,0.5592,0.5265,0.9127,0.0016,0.1485,0.5734,34
9.0,28,0,0.0002,10,1,0.05,valid_mcc,adam,0,0.6236,0.9779,0.9595,0.6062,0.5935,0.9197,0.0031,0.168,0.5823,27
10.0,28,0,0.0004,10,1,0.05,valid_mcc,adam,0,0.4705,0.9906,0.9637,0.732,0.5696,0.91,0.0021,0.1907,0.5785,28
11.0,28,0,0.0008,10,1,0.05,valid_mcc,adam,0,0.504,0.9826,0.9578,0.6124,0.5338,0.8997,0.002,0.2484,0.5605,41
12.0,29,0,0.0001,10,1,0.05,valid_mcc,adam,0,0.4306,0.9936,0.9645,0.7872,0.5666,0.9059,0.0005,0.226,0.5752,58
13.0,29,0,0.0002,10,1,0.05,valid_mcc,adam,0,0.5439,0.983,0.9603,0.6362,0.5676,0.9216,0.0039,0.1508,0.5578,21
