param_version,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc,epoch_count
1,0.4195,0.9941,0.9643,0.7946,0.562,0.8924,0.0001,0.2157,0.6015,22
1,0.4482,0.9936,0.9654,0.7938,0.5811,0.8907,0.0001,0.2366,0.5997,25
1,0.4322,0.9944,0.9653,0.809,0.5764,0.8974,0.0,0.2339,0.599,29
1,0.4514,0.9938,0.9657,0.7994,0.5855,0.8872,0.0,0.2473,0.6045,42
1,0.4418,0.9938,0.9652,0.796,0.5777,0.8966,0.0,0.2241,0.6079,26
1,0.429,0.9941,0.9648,0.7982,0.57,0.895,0.0,0.2325,0.5949,28
1,0.4625,0.9932,0.9657,0.788,0.5883,0.8947,0.0001,0.2125,0.5984,21
1,0.4322,0.9919,0.9629,0.7445,0.5504,0.8926,0.0001,0.2286,0.5978,25
1,0.437,0.9933,0.9645,0.7806,0.5683,0.8978,0.0001,0.2201,0.5832,21
1,0.445,0.9933,0.9649,0.7837,0.5749,0.8976,0.0014,0.1973,0.6007,18
1,0.4434,0.9941,0.9656,0.8035,0.5818,0.8959,0.0001,0.2192,0.6004,25
1,0.4179,0.9949,0.965,0.8162,0.5693,0.8944,0.0001,0.2308,0.5985,25
1,0.445,0.993,0.9646,0.7772,0.5722,0.8963,0.0002,0.2166,0.5993,20
1,0.4179,0.9946,0.9647,0.8086,0.5664,0.8918,0.0001,0.2254,0.5987,23
1,0.4466,0.9936,0.9653,0.7932,0.5798,0.8918,0.0002,0.2079,0.6004,20
1,0.4928,0.9911,0.9653,0.7518,0.5922,0.898,0.0004,0.1942,0.5981,20
1,0.4689,0.9936,0.9664,0.7989,0.5969,0.8932,0.0005,0.2003,0.5994,19
1,0.437,0.9936,0.9647,0.7874,0.571,0.8945,0.0002,0.2002,0.6049,20
1,0.4514,0.994,0.9659,0.804,0.5874,0.8925,0.0001,0.2182,0.6072,22
1,0.4689,0.9947,0.9675,0.8282,0.6089,0.8893,0.0,0.2521,0.6074,65
2,0.5311,0.9815,0.9582,0.611,0.5479,0.9128,0.0556,0.1534,0.5675,18
2,0.5024,0.9868,0.9618,0.676,0.5636,0.9037,0.0191,0.1625,0.5823,23
2,0.429,0.9927,0.9635,0.762,0.5554,0.8921,0.0063,0.2086,0.5994,39
3,0.4226,0.9951,0.9655,0.8255,0.5762,0.8832,0.0038,0.2342,0.5869,44
2,0.4864,0.99,0.9639,0.7262,0.5769,0.9143,0.0137,0.1811,0.5927,30
3,0.4721,0.9914,0.9645,0.7494,0.5781,0.9038,0.0101,0.1931,0.6068,30
2,0.4402,0.9932,0.9646,0.7797,0.5701,0.8951,0.006,0.2007,0.5931,39
3,0.5407,0.9863,0.9632,0.6835,0.5892,0.9168,0.0186,0.1696,0.5925,26
2,0.5789,0.9775,0.9569,0.5845,0.559,0.9171,0.0113,0.1665,0.5963,32
2,0.5455,0.989,0.966,0.7308,0.6144,0.909,0.0056,0.1774,0.6,38
